value,name,desc,deleted,new,SISO
0,ACTREQ_ID_OTHER,Other,0,0,0
1,ACTREQ_ID_LOCAL_STORAGE_REQ_INFO,Local Storage Requested Information,0,0,0
2,ACTREQ_ID_INFORM_EVENT_RAN_OUT_OF_AMMO,Inform Event Ran Out of Ammunition,0,0,0
3,ACTREQ_ID_INFORM_EVENT_KILLED_IN_ACTION,Inform Event Killed In Action,0,0,0
4,ACTREQ_ID_INFORM_EVENT_DAMAGE,Inform Event Damage,0,0,0
5,ACTREQ_ID_INFORM_EVENT_MOBILITY_DISABLED,Inform Event Mobility Disabled,0,0,0
6,ACTREQ_ID_INFORM_EVENT_FIRE_DISABLED,Inform Event Fire Disabled,0,0,0
7,ACTREQ_ID_INFORM_EVENT_RAN_OUT_OF_FUEL,Inform Event Ran Out of Fuel,0,0,0
8,ACTREQ_ID_RECALL_CHECKPOINT_DATA,Recall Checkpoint Data,0,0,0
9,ACTREQ_ID_RECALL_INITIAL_PARMS,Recall Initial Parameters,0,0,0
10,ACTREQ_ID_INIT_TETHER_LEAD,Initiate Tether-Lead,0,0,0
11,ACTREQ_ID_INIT_TETHER_FOLLOW,Initiate Tether-Follow,0,0,0
12,ACTREQ_ID_UNTETHER,Untether,0,0,0
13,ACTREQ_ID_INIT_SERVICE_STATION_RESUPPLY,Initiate Service Station Resupply,0,0,0
14,ACTREQ_ID_INIT_TAILGATE_RESUPPLY,Initiate Tailgate Resupply,0,0,0
15,ACTREQ_ID_INIT_HITCH_LEAD,Initiate Hitch Lead,0,0,0
16,ACTREQ_ID_INIT_HITCH_FOLLOW,Initiate Hitch Follow,0,0,0
17,ACTREQ_ID_UNHITCH,Unhitch,0,0,0
18,ACTREQ_ID_MOUNT,Mount,0,0,0
19,ACTREQ_ID_DISMOUNT,Dismount,0,0,0
20,ACTREQ_ID_START_DRC,Start Daily Readiness Check,0,0,0
21,ACTREQ_ID_STOP_DRC,Stop Daily Readiness Check,0,0,0
22,ACTREQ_ID_DATA_QUERY,Data Query,0,0,0
23,ACTREQ_ID_STATUS_REQ,Status Request,0,0,0
24,ACTREQ_ID_SEND_OBJECT_STATE_DATA,Send Object State Data,0,0,0
25,ACTREQ_ID_RECONSTITUTE,Reconstitute,0,0,0
26,ACTREQ_ID_LOCK_SITE_CONFIG,Lock Site Configuration,0,0,0
27,ACTREQ_ID_UNLOCK_SITE_CONFIG,Unlock Site Configuration,0,0,0
28,ACTREQ_ID_UPDATE_SITE_CONFIG,Update Site Configuration,0,0,0
29,ACTREQ_ID_QUERY_SITE_CONFIG,Query Site Configuration,0,0,0
30,ACTREQ_ID_TETHERING_INFORMATION,Tethering Information,0,0,0
31,ACTREQ_ID_MOUNT_INTENT,Mount Intent,0,0,0
33,ACTREQ_ID_ACCEPT_SUBSCRIPTION,Accept Subscription,0,0,0
34,ACTREQ_ID_UNSUBSCRIBE,Unsubscribe,0,0,0
35,ACTREQ_ID_TELEPORT_ENTITY,Teleport Entity,0,0,0
36,ACTREQ_ID_CHANGE_AGGREGATE_STATE,Change Aggregate State,0,0,0
37,ACTREQ_ID_REQ_START_PDU,Request Start PDU,0,0,0
38,ACTREQ_ID_WAKEUP_GET_READY_FOR_INIT,Wakeup Get Ready For Initialization,0,0,0
39,ACTREQ_ID_INIT_INTERNAL_PARMS,Initialize Internal Parameters,0,0,0
40,ACTREQ_ID_SEND_PLAN_DATA,Send Plan Data,0,0,0
41,ACTREQ_ID_SYNC_INTERNAL_CLOCKS,Synchronize Internal Clocks,0,0,0
42,ACTREQ_ID_RUN,Run,0,0,0
43,ACTREQ_ID_SAVE_INTERNAL_PARMS,Save Internal Parameters,0,0,0
44,ACTREQ_ID_SIMULATE_MALFUNCTION,Simulate Malfunction,0,0,0
45,ACTREQ_ID_JOIN_EXERCISE,Join Exercise,0,0,0
46,ACTREQ_ID_RESIGN_EXERCISE,Resign Exercise,0,0,0
47,ACTREQ_ID_TIME_ADVANCE,Time Advance,0,0,0
48,ACTREQ_ID_COMMAND_FROM_SIMULATOR,Command from Simulator,0,1,0
100,ACTREQ_ID_TACCSF_LOS_REQ_TYPE_1,TACCSF LOS Request-Type 1,0,0,0
101,ACTREQ_ID_TACCSF_LOS_REQ_TYPE_2,TACCSF LOS Request-Type 2,0,0,0
4300,ACTREQ_ID_SLING_CAPABILITY_REQ,Sling Load Capability Request,0,1,0
4301,ACTREQ_ID_SLING_ATTACH_REQ,Sling Load Attach Request,0,1,0
4302,ACTREQ_ID_SLING_RELEASE_REQ,Sling Load Release Request,0,1,0
5100,ACTID_CDT_REPORT_AVAILABILITY,CDT Report Availability,0,0,0
5105,ACTID_CDT_REPORT_AVAILABILITY_ATSIO,CDT Report Availability ATSIO,0,0,0
5110,ACTID_CDT_AVAILABLE,CDT Available,0,0,0
5120,ACTID_CDT_NOT_AVAILABLE,CDT Not Available,0,0,0
5200,ACTID_CDT_CONNECT,CDT Connect,0,0,0
