value,name,desc,deleted,new,SISO
0,ACTRES_REQ_OTHER,Other,0,0,0
1,ACTRES_REQ_PENDING,Pending,0,0,0
2,ACTRES_REQ_EXECUTING,Executing,0,0,0
3,ACTRES_REQ_PARTIALLY_COMPLETE,Partially Complete,0,0,0
4,ACTRES_REQ_COMPLETE,Complete,0,0,0
5,ACTRES_REQ_REQUEST_REJECTED,Request Rejected,0,0,0
6,ACTRES_REQ_RETRANSMIT_REQUEST_NOW,Retransmit Request Now,0,0,0
7,ACTRES_REQ_RETRANSMIT_REQUEST_LATER,Retransmit Request Later,0,0,0
8,ACTRES_REQ_INVALREQ_TIME_PARAMETERS,Invalid Time Parameters,0,0,0
9,ACTRES_REQ_SIM_TIME_EXCEEDED,Simulation Time Exceeded,0,0,0
10,ACTRES_REQ_REQUEST_DONE,Request Done,0,0,0
100,ACTRES_REQ_TACCSF_LOS_REPLY_TYPE_1,TACCSF LOS Reply-Type 1,0,0,0
101,ACTRES_REQ_TACCSF_LOS_REPLY_TYPE_2,TACCSF LOS Reply-Type 2,0,0,0
201,ACTRES_REQ_JOIN_EXERCISE_REQ_REJECTED,Join Exercise Request Rejected,0,0,0
