value,name,desc,deleted,new,SISO
1024,ARTPART_RUDDER,Rudder,0,0,0
1056,ARTPART_LEFT_FLAP,Left Flap,0,0,0
1088,ARTPART_RIGHT_FLAP,Right Flap,0,0,0
1120,ARTPART_LEFT_AILERON,Left Aileron,0,0,0
1152,ARTPART_RIGHT_AILERON,Right Aileron,0,0,0
1184,ARTPART_HELI_MAIN_ROTOR,Helicopter-Main Rotor,0,0,0
1216,ARTPART_HELI_TAIL_ROTOR,Helicopter-Tail Rotor,0,0,0
1248,ARTPART_OTHER_AIRCRAFT_CTRL_SURFACES,Other Aircraft Control Surfaces,0,0,0
2048,ARTPART_PERISCOPE,Periscope,0,0,0
2080,ARTPART_GENERIC_ANTENNA,Generic Antenna,0,0,0
2112,ARTPART_SNORKEL,Snorkel,0,0,0
2144,ARTPART_CDT_LOWER_ARM_OTHER,CDT Talon Lower ARM (or other),0,0,0
2176,ARTPART_CDT_UPPER_ARM,CDT Talon Upper Arm,0,0,0
2208,ARTPART_CDT_ELBOW_CAMERA,CDT Talon Elbow Camera,0,0,0
2240,ARTPART_CDT_GRIPPER_ASSEMBLY,CDT Talon Gripper Assembly,0,0,0
2272,ARTPART_CDT_GRIPPER_HAND,CDT Talon Gripper Hand,0,0,0
2304,ARTPART_CDT_GRIPPER_JAWS,CDT Talon Gripper Jaws,0,0,0
2336,ARTPART_CDT_GRIPPER_CAMERA,CDT Talon Gripper Camera,0,0,0
2368,ARTPART_CDT_PAN_TILT_ASSEMBLY,CDT Talon Pan Tilt Assembly,0,0,0
2400,ARTPART_CDT_PAN_TILT_CAMERA,CDT Talon Pan Tilt Camera,0,0,0
2432,ARTPART_CDT_FRONT_CAMERA,CDT Talon Front Camera,0,0,0
2464,ARTPART_CDT_REAR_CAMERA,CDT Talon Read Camera,0,0,0
3072,ARTPART_LANDING_GEAR,Landing Gear,0,0,0
3104,ARTPART_TAIL_HOOK,Tail Hook,0,0,0
3136,ARTPART_SPEED_BRAKE,Speed Brake,0,0,0
3168,ARTPART_LEFT_WEAPON_BAY_DOOR,Left Weapon Bay Door,0,0,0
3200,ARTPART_RIGHT_WEAPON_BAY_DOORS,Right Weapon Bay Doors,0,0,0
3232,ARTPART_TANK_OR_APC_HATCH,Tank or APC Hatch,0,0,0
3264,ARTPART_WINGSWEEP,Wingsweep,0,0,0
3296,ARTPART_BRIDGE_LAUNCHER,Bridge Launcher,0,0,0
3328,ARTPART_BRIDGE_SECTION_1,Bridge Section 1,0,0,0
3360,ARTPART_BRIDGE_SECTION_2,Bridge Section 2,0,0,0
3392,ARTPART_BRIDGE_SECTION_3,Bridge Section 3,0,0,0
3424,ARTPART_PRIMARY_BLADE_1,Primary Blade 1,0,0,0
3456,ARTPART_PRIMARY_BLADE_2,Primary Blade 2,0,0,0
3488,ARTPART_PRIMARY_BOOM,Primary Boom,0,0,0
3520,ARTPART_PRIMARY_LAUNCHER_ARM,Primary Launcher Arm,0,0,0
3552,ARTPART_OTHER_FIXED_POSITION_PARTS,Other Fixed Position Parts,0,0,0
4096,ARTPART_PRIMARY_TURRET_NUM_1,Primary Turret Number 1,0,0,0
4128,ARTPART_PRIMARY_TURRET_NUM_2,Primary Turret Number 2,0,0,0
4160,ARTPART_PRIMARY_TURRET_NUM_3,Primary Turret Number 3,0,0,0
4192,ARTPART_PRIMARY_TURRET_NUM_4,Primary Turret Number 4,0,0,0
4224,ARTPART_PRIMARY_TURRET_NUM_5,Primary Turret Number 5,0,0,0
4256,ARTPART_PRIMARY_TURRET_NUM_6,Primary Turret Number 6,0,0,0
4288,ARTPART_PRIMARY_TURRET_NUM_7,Primary Turret Number 7,0,0,0
4320,ARTPART_PRIMARY_TURRET_NUM_8,Primary Turret Number 8,0,0,0
4352,ARTPART_PRIMARY_TURRET_NUM_9,Primary Turret Number 9,0,0,0
4384,ARTPART_PRIMARY_TURRET_NUM_10,Primary Turret Number 10,0,0,0
4416,ARTPART_PRIMARY_GUN_NUM_1,Primary Gun Number 1,0,0,0
4448,ARTPART_PRIMARY_GUN_NUM_2,Primary Gun Number 2,0,0,0
4480,ARTPART_PRIMARY_GUN_NUM_3,Primary Gun Number 3,0,0,0
4512,ARTPART_PRIMARY_GUN_NUM_4,Primary Gun Number 4,0,0,0
4544,ARTPART_PRIMARY_GUN_NUM_5,Primary Gun Number 5,0,0,0
4576,ARTPART_PRIMARY_GUN_NUM_6,Primary Gun Number 6,0,0,0
4608,ARTPART_PRIMARY_GUN_NUM_7,Primary Gun Number 7,0,0,0
4640,ARTPART_PRIMARY_GUN_NUM_8,Primary Gun Number 8,0,0,0
4672,ARTPART_PRIMARY_GUN_NUM_9,Primary Gun Number 9,0,0,0
4704,ARTPART_PRIMARY_GUN_NUM_10,Primary Gun Number 10,0,0,0
4736,ARTPART_PRIMARY_LAUNCHER_1,Primary Launcher 1,0,0,0
4768,ARTPART_PRIMARY_LAUNCHER_2,Primary Launcher 2,0,0,0
4800,ARTPART_PRIMARY_LAUNCHER_3,Primary Launcher 3,0,0,0
4832,ARTPART_PRIMARY_LAUNCHER_4,Primary Launcher 4,0,0,0
4864,ARTPART_PRIMARY_LAUNCHER_5,Primary Launcher 5,0,0,0
4896,ARTPART_PRIMARY_LAUNCHER_6,Primary Launcher 6,0,0,0
4928,ARTPART_PRIMARY_LAUNCHER_7,Primary Launcher 7,0,0,0
4960,ARTPART_PRIMARY_LAUNCHER_8,Primary Launcher 8,0,0,0
4992,ARTPART_PRIMARY_LAUNCHER_9,Primary Launcher 9,0,0,0
5024,ARTPART_PRIMARY_LAUNCHER_10,Primary Launcher 10,0,0,0
5056,ARTPART_PRIMARY_DEF_SYS_1,Primary Defense Systems 1,0,0,0
5088,ARTPART_PRIMARY_DEF_SYS_2,Primary Defense Systems 2,0,0,0
5120,ARTPART_PRIMARY_DEF_SYS_3,Primary Defense Systems 3,0,0,0
5152,ARTPART_PRIMARY_DEF_SYS_4,Primary Defense Systems 4,0,0,0
5184,ARTPART_PRIMARY_DEF_SYS_5,Primary Defense Systems 5,0,0,0
5216,ARTPART_PRIMARY_DEF_SYS_6,Primary Defense Systems 6,0,0,0
5248,ARTPART_PRIMARY_DEF_SYS_7,Primary Defense Systems 7,0,0,0
5280,ARTPART_PRIMARY_DEF_SYS_8,Primary Defense Systems 8,0,0,0
5312,ARTPART_PRIMARY_DEF_SYS_9,Primary Defense Systems 9,0,0,0
5344,ARTPART_PRIMARY_DEF_SYS_10,Primary Defense Systems 10,0,0,0
5376,ARTPART_PRIMARY_RADAR_1,Primary Radar 1,0,0,0
5408,ARTPART_PRIMARY_RADAR_2,Primary Radar 2,0,0,0
5440,ARTPART_PRIMARY_RADAR_3,Primary Radar 3,0,0,0
5472,ARTPART_PRIMARY_RADAR_4,Primary Radar 4,0,0,0
5504,ARTPART_PRIMARY_RADAR_5,Primary Radar 5,0,0,0
5536,ARTPART_PRIMARY_RADAR_6,Primary Radar 6,0,0,0
5568,ARTPART_PRIMARY_RADAR_7,Primary Radar 7,0,0,0
5600,ARTPART_PRIMARY_RADAR_8,Primary Radar 8,0,0,0
5632,ARTPART_PRIMARY_RADAR_9,Primary Radar 9,0,0,0
5664,ARTPART_PRIMARY_RADAR_10,Primary Radar 10,0,0,0
5696,ARTPART_SEC_TURRET_NUM_1,Secondary Turret Number 1,0,0,0
5728,ARTPART_SEC_TURRET_NUM_2,Secondary Turret Number 2,0,0,0
5760,ARTPART_SEC_TURRET_NUM_3,Secondary Turret Number 3,0,0,0
5792,ARTPART_SEC_TURRET_NUM_4,Secondary Turret Number 4,0,0,0
5824,ARTPART_SEC_TURRET_NUM_5,Secondary Turret Number 5,0,0,0
5856,ARTPART_SEC_TURRET_NUM_6,Secondary Turret Number 6,0,0,0
5888,ARTPART_SEC_TURRET_NUM_7,Secondary Turret Number 7,0,0,0
5920,ARTPART_SEC_TURRET_NUM_8,Secondary Turret Number 8,0,0,0
5952,ARTPART_SEC_TURRET_NUM_9,Secondary Turret Number 9,0,0,0
5984,ARTPART_SEC_TURRET_NUM_10,Secondary Turret Number 10,0,0,0
6016,ARTPART_SEC_GUN_NUM_1,Secondary Gun Number 1,0,0,0
6048,ARTPART_SEC_GUN_NUM_2,Secondary Gun Number 2,0,0,0
6080,ARTPART_SEC_GUN_NUM_3,Secondary Gun Number 3,0,0,0
6112,ARTPART_SEC_GUN_NUM_4,Secondary Gun Number 4,0,0,0
6144,ARTPART_SEC_GUN_NUM_5,Secondary Gun Number 5,0,0,0
6176,ARTPART_SEC_GUN_NUM_6,Secondary Gun Number 6,0,0,0
6208,ARTPART_SEC_GUN_NUM_7,Secondary Gun Number 7,0,0,0
6240,ARTPART_SEC_GUN_NUM_8,Secondary Gun Number 8,0,0,0
6272,ARTPART_SEC_GUN_NUM_9,Secondary Gun Number 9,0,0,0
6304,ARTPART_SEC_GUN_NUM_10,Secondary Gun Number 10,0,0,0
6336,ARTPART_SEC_LAUNCHER_1,Secondary Launcher 1,0,0,0
6368,ARTPART_SEC_LAUNCHER_2,Secondary Launcher 2,0,0,0
6400,ARTPART_SEC_LAUNCHER_3,Secondary Launcher 3,0,0,0
6432,ARTPART_SEC_LAUNCHER_4,Secondary Launcher 4,0,0,0
6464,ARTPART_SEC_LAUNCHER_5,Secondary Launcher 5,0,0,0
6496,ARTPART_SEC_LAUNCHER_6,Secondary Launcher 6,0,0,0
6528,ARTPART_SEC_LAUNCHER_7,Secondary Launcher 7,0,0,0
6560,ARTPART_SEC_LAUNCHER_8,Secondary Launcher 8,0,0,0
6592,ARTPART_SEC_LAUNCHER_9,Secondary Launcher 9,0,0,0
6624,ARTPART_SEC_LAUNCHER_10,Secondary Launcher 10,0,0,0
6656,ARTPART_SEC_DEF_SYS_1,Secondary Defense Systems 1,0,0,0
6688,ARTPART_SEC_DEF_SYS_2,Secondary Defense Systems 2,0,0,0
6720,ARTPART_SEC_DEF_SYS_3,Secondary Defense Systems 3,0,0,0
6752,ARTPART_SEC_DEF_SYS_4,Secondary Defense Systems 4,0,0,0
6784,ARTPART_SEC_DEF_SYS_5,Secondary Defense Systems 5,0,0,0
6816,ARTPART_SEC_DEF_SYS_6,Secondary Defense Systems 6,0,0,0
6848,ARTPART_SEC_DEF_SYS_7,Secondary Defense Systems 7,0,0,0
6880,ARTPART_SEC_DEF_SYS_8,Secondary Defense Systems 8,0,0,0
6912,ARTPART_SEC_DEF_SYS_9,Secondary Defense Systems 9,0,0,0
6944,ARTPART_SEC_DEF_SYS_10,Secondary Defense Systems 10,0,0,0
6976,ARTPART_SEC_RADAR_1,Secondary Radar 1,0,0,0
7008,ARTPART_SEC_RADAR_2,Secondary Radar 2,0,0,0
7040,ARTPART_SEC_RADAR_3,Secondary Radar 3,0,0,0
7072,ARTPART_SEC_RADAR_4,Secondary Radar 4,0,0,0
7104,ARTPART_SEC_RADAR_5,Secondary Radar 5,0,0,0
7136,ARTPART_SEC_RADAR_6,Secondary Radar 6,0,0,0
7168,ARTPART_SEC_RADAR_7,Secondary Radar 7,0,0,0
7200,ARTPART_SEC_RADAR_8,Secondary Radar 8,0,0,0
7232,ARTPART_SEC_RADAR_9,Secondary Radar 9,0,0,0
7264,ARTPART_SEC_RADAR_10,Secondary Radar 10,0,0,0
7296,ARTPART_DECK_ELEVATOR_1,Deck Elevator 1,0,0,0
7328,ARTPART_DECK_ELEVATOR_2,Deck Elevator 2,0,0,0
7360,ARTPART_CATAPULT_1,Catapult 1,0,0,0
7392,ARTPART_CATAPULT_2,Catapult 2,0,0,0
7424,ARTPART_JET_BLAST_DEFLECTOR_1,Jet Blast Deflector 1,0,0,0
7456,ARTPART_JET_BLAST_DEFLECTOR_2,Jet Blast Deflector 2,0,0,0
7488,ARTPART_ARRESTOR_WIRES_1,Arrestor Wires 1,0,0,0
7520,ARTPART_ARRESTOR_WIRES_2,Arrestor Wires 2,0,0,0
7552,ARTPART_ARRESTOR_WIRES_3,Arrestor Wires 3,0,0,0
7584,ARTPART_WING_FOLD,Wing Fold,0,0,0
7616,ARTPART_FUSELAGE_FOLD,Fuselage Fold,0,0,0
