value,name,desc,deleted,new,SISO
0,ATCHPART_EMPTY,Empty,0,0,0
512,ATCHPART_FUSELAGE_STATION_1,Fuselage Station 1,0,0,0
513,ATCHPART_FUSELAGE_STATION_2,Fuselage Station 2,0,0,0
514,ATCHPART_FUSELAGE_STATION_3,Fuselage Station 3,0,0,0
515,ATCHPART_FUSELAGE_STATION_4,Fuselage Station 4,0,0,0
516,ATCHPART_FUSELAGE_STATION_5,Fuselage Station 5,0,0,0
517,ATCHPART_FUSELAGE_STATION_6,Fuselage Station 6,0,0,0
518,ATCHPART_FUSELAGE_STATION_7,Fuselage Station 7,0,0,0
519,ATCHPART_FUSELAGE_STATION_8,Fuselage Station 8,0,0,0
520,ATCHPART_FUSELAGE_STATION_9,Fuselage Station 9,0,0,0
521,ATCHPART_FUSELAGE_STATION_10,Fuselage Station 10,0,0,0
522,ATCHPART_FUSELAGE_STATION_11,Fuselage Station 11,0,0,0
523,ATCHPART_FUSELAGE_STATION_12,Fuselage Station 12,0,0,0
524,ATCHPART_FUSELAGE_STATION_13,Fuselage Station 13,0,0,0
525,ATCHPART_FUSELAGE_STATION_14,Fuselage Station 14,0,0,0
526,ATCHPART_FUSELAGE_STATION_15,Fuselage Station 15,0,0,0
527,ATCHPART_FUSELAGE_STATION_16,Fuselage Station 16,0,0,0
528,ATCHPART_FUSELAGE_STATION_17,Fuselage Station 17,0,0,0
529,ATCHPART_FUSELAGE_STATION_18,Fuselage Station 18,0,0,0
530,ATCHPART_FUSELAGE_STATION_19,Fuselage Station 19,0,0,0
531,ATCHPART_FUSELAGE_STATION_20,Fuselage Station 20,0,0,0
532,ATCHPART_FUSELAGE_STATION_21,Fuselage Station 21,0,0,0
533,ATCHPART_FUSELAGE_STATION_22,Fuselage Station 22,0,0,0
534,ATCHPART_FUSELAGE_STATION_23,Fuselage Station 23,0,0,0
535,ATCHPART_FUSELAGE_STATION_24,Fuselage Station 24,0,0,0
536,ATCHPART_FUSELAGE_STATION_25,Fuselage Station 25,0,0,0
537,ATCHPART_FUSELAGE_STATION_26,Fuselage Station 26,0,0,0
538,ATCHPART_FUSELAGE_STATION_27,Fuselage Station 27,0,0,0
539,ATCHPART_FUSELAGE_STATION_28,Fuselage Station 28,0,0,0
540,ATCHPART_FUSELAGE_STATION_29,Fuselage Station 29,0,0,0
541,ATCHPART_FUSELAGE_STATION_30,Fuselage Station 30,0,0,0
542,ATCHPART_FUSELAGE_STATION_31,Fuselage Station 31,0,0,0
543,ATCHPART_FUSELAGE_STATION_32,Fuselage Station 32,0,0,0
544,ATCHPART_FUSELAGE_STATION_33,Fuselage Station 33,0,0,0
545,ATCHPART_FUSELAGE_STATION_34,Fuselage Station 34,0,0,0
546,ATCHPART_FUSELAGE_STATION_35,Fuselage Station 35,0,0,0
547,ATCHPART_FUSELAGE_STATION_36,Fuselage Station 36,0,0,0
548,ATCHPART_FUSELAGE_STATION_37,Fuselage Station 37,0,0,0
549,ATCHPART_FUSELAGE_STATION_38,Fuselage Station 38,0,0,0
550,ATCHPART_FUSELAGE_STATION_39,Fuselage Station 39,0,0,0
551,ATCHPART_FUSELAGE_STATION_40,Fuselage Station 40,0,0,0
552,ATCHPART_FUSELAGE_STATION_41,Fuselage Station 41,0,0,0
553,ATCHPART_FUSELAGE_STATION_42,Fuselage Station 42,0,0,0
554,ATCHPART_FUSELAGE_STATION_43,Fuselage Station 43,0,0,0
555,ATCHPART_FUSELAGE_STATION_44,Fuselage Station 44,0,0,0
556,ATCHPART_FUSELAGE_STATION_45,Fuselage Station 45,0,0,0
557,ATCHPART_FUSELAGE_STATION_46,Fuselage Station 46,0,0,0
558,ATCHPART_FUSELAGE_STATION_47,Fuselage Station 47,0,0,0
559,ATCHPART_FUSELAGE_STATION_48,Fuselage Station 48,0,0,0
560,ATCHPART_FUSELAGE_STATION_49,Fuselage Station 49,0,0,0
561,ATCHPART_FUSELAGE_STATION_50,Fuselage Station 50,0,0,0
562,ATCHPART_FUSELAGE_STATION_51,Fuselage Station 51,0,0,0
563,ATCHPART_FUSELAGE_STATION_52,Fuselage Station 52,0,0,0
564,ATCHPART_FUSELAGE_STATION_53,Fuselage Station 53,0,0,0
565,ATCHPART_FUSELAGE_STATION_54,Fuselage Station 54,0,0,0
566,ATCHPART_FUSELAGE_STATION_55,Fuselage Station 55,0,0,0
567,ATCHPART_FUSELAGE_STATION_56,Fuselage Station 56,0,0,0
568,ATCHPART_FUSELAGE_STATION_57,Fuselage Station 57,0,0,0
569,ATCHPART_FUSELAGE_STATION_58,Fuselage Station 58,0,0,0
570,ATCHPART_FUSELAGE_STATION_59,Fuselage Station 59,0,0,0
571,ATCHPART_FUSELAGE_STATION_60,Fuselage Station 60,0,0,0
572,ATCHPART_FUSELAGE_STATION_61,Fuselage Station 61,0,0,0
573,ATCHPART_FUSELAGE_STATION_62,Fuselage Station 62,0,0,0
574,ATCHPART_FUSELAGE_STATION_63,Fuselage Station 63,0,0,0
575,ATCHPART_FUSELAGE_STATION_64,Fuselage Station 64,0,0,0
576,ATCHPART_FUSELAGE_STATION_65,Fuselage Station 65,0,0,0
577,ATCHPART_FUSELAGE_STATION_66,Fuselage Station 66,0,0,0
578,ATCHPART_FUSELAGE_STATION_67,Fuselage Station 67,0,0,0
579,ATCHPART_FUSELAGE_STATION_68,Fuselage Station 68,0,0,0
580,ATCHPART_FUSELAGE_STATION_69,Fuselage Station 69,0,0,0
581,ATCHPART_FUSELAGE_STATION_70,Fuselage Station 70,0,0,0
582,ATCHPART_FUSELAGE_STATION_71,Fuselage Station 71,0,0,0
583,ATCHPART_FUSELAGE_STATION_72,Fuselage Station 72,0,0,0
584,ATCHPART_FUSELAGE_STATION_73,Fuselage Station 73,0,0,0
585,ATCHPART_FUSELAGE_STATION_74,Fuselage Station 74,0,0,0
586,ATCHPART_FUSELAGE_STATION_75,Fuselage Station 75,0,0,0
587,ATCHPART_FUSELAGE_STATION_76,Fuselage Station 76,0,0,0
588,ATCHPART_FUSELAGE_STATION_77,Fuselage Station 77,0,0,0
589,ATCHPART_FUSELAGE_STATION_78,Fuselage Station 78,0,0,0
590,ATCHPART_FUSELAGE_STATION_79,Fuselage Station 79,0,0,0
591,ATCHPART_FUSELAGE_STATION_80,Fuselage Station 80,0,0,0
592,ATCHPART_FUSELAGE_STATION_81,Fuselage Station 81,0,0,0
593,ATCHPART_FUSELAGE_STATION_82,Fuselage Station 82,0,0,0
594,ATCHPART_FUSELAGE_STATION_83,Fuselage Station 83,0,0,0
595,ATCHPART_FUSELAGE_STATION_84,Fuselage Station 84,0,0,0
596,ATCHPART_FUSELAGE_STATION_85,Fuselage Station 85,0,0,0
597,ATCHPART_FUSELAGE_STATION_86,Fuselage Station 86,0,0,0
598,ATCHPART_FUSELAGE_STATION_87,Fuselage Station 87,0,0,0
599,ATCHPART_FUSELAGE_STATION_88,Fuselage Station 88,0,0,0
600,ATCHPART_FUSELAGE_STATION_89,Fuselage Station 89,0,0,0
601,ATCHPART_FUSELAGE_STATION_90,Fuselage Station 90,0,0,0
602,ATCHPART_FUSELAGE_STATION_91,Fuselage Station 91,0,0,0
