value,name,desc,deleted,new,SISO
0,BEAM_FUNC_OTHER,Other,0,0,0
1,BEAM_FUNC_SEARCH,Search,0,0,0
2,BEAM_FUNC_HEIGHT_FINDER,Height finder,0,0,0
3,BEAM_FUNC_ACQUISITION,Acquisition,0,0,0
4,BEAM_FUNC_TRACKING,Tracking,0,0,0
5,BEAM_FUNC_ACQUISITION_AND_TRACKING,Acquisition and tracking,0,0,0
6,BEAM_FUNC_COMMAND_GUIDANCE,Command guidance,0,0,0
7,BEAM_FUNC_ILLUMINATION,Illumination,0,0,0
8,BEAM_FUNC_RANGE_ONLY_RADAR,Range only radar,0,0,0
9,BEAM_FUNC_MISSILE_BEACON,Missile beacon,0,0,0
10,BEAM_FUNC_MISSILE_FUZE,Missile fuze,0,0,0
11,BEAM_FUNC_ACTIVE_RADAR_MISSILE_SEEKER,Active radar missile seeker,0,0,0
12,BEAM_FUNC_JAMMER,Jammer,0,0,0
13,BEAM_FUNC_IFF,IFF,0,0,0
14,BEAM_FUNC_NAVIGATIONAL_WEATHER,Navigational/Weather,0,0,0
15,BEAM_FUNC_METEOROLOGICAL,Meteorological,0,0,0
16,BEAM_FUNC_DATA_TRANSMISSION,Data transmission,0,0,0
17,BEAM_FUNC_NAVIGATIONAL_DIRECTIONAL_BEACON,Navigational directional beacon,0,0,0
20,BEAM_FUNC_TIME_SHARED_SEARCH,Time-Shared Search,0,1,1
21,BEAM_FUNC_TIME_SHARED_ACQUISITION,Time-Shared Acquisition,0,1,1
22,BEAM_FUNC_TIME_SHARED_TRACK,Time-Shared Track,0,1,1
23,BEAM_FUNC_TIME_SHARED_COMMAND_GUIDANCE,Time-Shared Command Guidance,0,1,1
24,BEAM_FUNC_TIME_SHARED_ILLUMINATION,Time-Shared Illumination,0,1,1
25,BEAM_FUNC_TIME_SHARED_JAMMING,Time-Shared Jamming,0,1,1
