value,name,desc,CAT,type,length,units,new,deleted,SISO
256,DID_ENVIRONMENT_PROCESS_STATE_COMBIC,COMBIC State,Environment,variable,416-bits,unknown,0,0,0
259,DID_ENVIRONMENT_PROCESS_STATE_FLARE,Flare State,Environment,variable,192-bits,unknown,0,0,0
4000,DID_DE_PRECISION_AIMPOINT,DE Precision Aimpoint record,Directed Energy,variable,unknown,unknown,1,0,1
4001,DID_DE_AREA_AIMPOINT,DE Area Aimpoint record,Directed Energy,variable,unknown,unknown,1,0,1
4500,DID_DE_DAMAGE_DESCRIPTION,DE Damage Description record,Directed Energy,variable,unknown,unknown,1,0,1
10000,DID_IDENTIFICATION_AGGR,Identification (Aggregate),Entity ID,unknown,unknown,unknown,0,0,0
11000,DID_ENTITY_TYPE_AGGR,Entity Type (Aggregate),Entity ID,unknown,unknown,unknown,0,0,0
11100,DID_ENTITY_TYPE_CONCAT_AGGR,Entity Type - Concatenated (Aggregate),Entity ID,unknown,unknown,unknown,0,0,0
11110,DID_ENTITY_TYPE_CONCAT_KIND,Entity Type - Concatenated - Kind,Entity ID,unsigned integer,8-bits,unknown,0,0,0
11120,DID_ENTITY_TYPE_CONCAT_DOMAIN,Entity Type - Concatenated - Domain,Entity ID,unsigned integer,8-bits,unknown,0,0,0
11130,DID_ENTITY_TYPE_CONCAT_COUNTRY,Entity Type - Concatenated - Country,Entity ID,unsigned integer,16-bits,unknown,0,0,0
11140,DID_ENTITY_TYPE_CONCAT_CATEGORY,Entity Type - Concatenated - Category,Entity ID,unsigned integer,8-bits,unknown,0,0,0
11150,DID_ENTITY_TYPE_CONCAT_SUBCATEGORY,Entity Type - Concatenated - Subcategory,Entity ID,unsigned integer,8-bits,unknown,0,0,0
11160,DID_ENTITY_TYPE_CONCAT_SPECIFIC,Entity Type - Concatenated - Specific ,Entity ID,unsigned integer,8-bits,unknown,0,0,0
11170,DID_ENTITY_TYPE_CONCAT_EXTRA,Entity Type - Concatenated - Extra,Entity ID,unsigned integer,8-bits,unknown,0,0,0
11200,DID_TASK_ORG_FORCE_ID,Task Organization - Force ID,Task Organization,unsigned integer,8-bits,unknown,0,0,0
11250,DID_TASK_ORG_FORCE_ID_AFFILIATION,Task Organization - Force ID - Affiliation,Task Organization,variable,320-bits,unknown,1,0,0
11300,DID_ENTITY_TYPE_DESC,Entity Type - Description,Entity ID,variable,unknown,unknown,0,0,0
11400,DID_ENTITY_TYPE_ENTITY_ROLE_RECORD_ID,Entity Type - Entity Role Record ID,SIMAN,variable,unknown,unknown,0,0,0
11410,DID_ENTITY_TYPE_ENTITY_ORG_RECORD_ID,Entity Type - Entity Organization Record ID,SIMAN,variable,unknown,unknown,0,0,0
12000,DID_ALTERNATIVE_ENTITY_TYPE_AGGR,Alternative Entity Type (Aggregate),Entity ID,unknown,unknown,unknown,0,0,0
12100,DID_ALTERNATIVE_ENTITY_ROLE_RECORD_ID,Alternative Entity Role Record ID ,Entity ID,variable,unknown,unknown,0,0,0
12110,DID_ALTERNATIVE_ENTITY_TYPE_KIND,Alternative Entity Type - Kind,Entity ID,unsigned integer,8-bits,unknown,0,0,0
12120,DID_ALTERNATIVE_ENTITY_TYPE_DOMAIN,Alternative Entity Type - Domain,Entity ID,unsigned integer,8-bits,unknown,0,0,0
12130,DID_ALTERNATIVE_ENTITY_TYPE_COUNTRY,Alternative Entity Type - Country,Entity ID,unsigned integer,16-bits,unknown,0,0,0
12140,DID_ALTERNATIVE_ENTITY_TYPE_CATEGORY,Alternative Entity Type - Category,Entity ID,unsigned integer,8-bits,unknown,0,0,0
12150,DID_ALTERNATIVE_ENTITY_TYPE_SUBCATEGORY,Alternative Entity Type - Subcategory ,Entity ID,unsigned integer,8-bits,unknown,0,0,0
