value,name,desc,deleted,new,SISO
0,DES_SYS_NAME_NO_STATEMENT,No Statement,0,1,0
1,DES_SYS_NAME_AN_AAQ_16,AN/AAQ-16: FLIR Imaging System,0,1,0
2,DES_SYS_NAME_AN_AAQ_22A,AN/AAQ-22A: SAFIRE-LRF (USMC UH1N~ MH60G),0,1,0
3,DES_SYS_NAME_AN_AAQ_22B,AN/AAQ-22B: SAFIRE-LP (USAF),0,1,0
4,DES_SYS_NAME_AN_AAQ_22C,AN/AAQ-22C: Star SAFIRE-I LRF (USMC),0,1,0
5,DES_SYS_NAME_AN_AAQ_22D,AN/AAQ-22D: BRITE Star (USMC),0,1,0
6,DES_SYS_NAME_AN_AAQ_28_LITENING,AN/AAQ-28: LITENING Airborne Targeting and Navigation POD,0,1,0
7,DES_SYS_NAME_AN_AAQ_7,AN/AAQ-7 Laser Range Finder (AC-130A/H),0,1,0
8,DES_SYS_NAME_AN_AAS_35V_PAVE_PENNY,AN/AAS-35(V): Pave Penny Airborne Ground Attack Pod,0,1,0
9,DES_SYS_NAME_AN_AAS_37,AN/AAS-37 Laser Range Finder and Designator (OV-10 and OV-1D),0,1,0
10,DES_SYS_NAME_AN_AAS_38,AN/AAS-38 NITE HAWK FLIR and Laser Designator Pod (F/A-18),0,1,0
11,DES_SYS_NAME_AN_AAS_44,AN/AAS-44 IR Laser Detecting/Ranging/Tracking Set (SH-60B),0,1,0
12,DES_SYS_NAME_AN_AAS_49,AN/AAS-49 IR Laser Detecting/Ranging/Tracking Set (derivative of AN/AAS-44),0,1,0
13,DES_SYS_NAME_AN_AAS_51,AN/AAS-51 IR Laser Detecting/Ranging/Tracking Set (derivative of AN/AAS-44 used in helicopters),0,1,0
14,DES_SYS_NAME_AN_AAS_53,AN/AAS-53 Electro Optical/IR/Laser sensor turret for Army ARH (AN/AAS-52 in MQ-1),0,1,0
15,DES_SYS_NAME_AN_GVS_5,AN/GVS-5: Hand Held LRF,0,1,0
16,DES_SYS_NAME_AN_TVQ_2,AN/TVQ-2: Ground Vehicle Laser Locator Designator (GVLLD),0,1,0
17,DES_SYS_NAME_DAK_1_SAGE_GLOSS,DAK-1: Russian LRF Sage Gloss (artillery weapons),0,1,0
18,DES_SYS_NAME_DHY_307,DHY 307: Ground Laser Designator,0,1,0
19,DES_SYS_NAME_SACLOS,Semi Automatic Command Line of Sight (SACLOS) - Wired / Beam Rider / Laser Designator,0,1,0
20,DES_SYS_NAME_TPDK_1,TPDK-1: Russian LRF,0,1,0
21,DES_SYS_NAME_1D15,1D15: Russian Laser Target Designator,0,1,0
22,DES_SYS_NAME_1D20,1D20: Russian Laser Target Designator,0,1,0
23,DES_SYS_NAME_1D22,1D22: Russian Laser Target Designator,0,1,0
24,DES_SYS_NAME_IZLID_428P_W,IZLID 428P-W,0,1,0
25,DES_SYS_NAME_AIM_1_SLX_SUPER_LONG_RANGE_IR_AIMING_LASER,AIM-1/SLX Super Long Range IR Aiming Laser (Helicopter mounted),0,1,0
26,DES_SYS_NAME_AIM_1_SLR_SUPER_LONG_RANGE_IR_AIMING_LASER,AIM-1/SLR Super Long Range IR Aiming Laser,0,1,0
27,DES_SYS_NAME_AN_PEQ_2A_IR_AIMING_LASER,AN/PEQ-2A IR Aiming Laser,0,1,0
28,DES_SYS_NAME_ACP_2A_AIR_COMMANDER_POINTER_IR_AIMING_LASER,ACP-2A Air Commander Pointer IR Aiming Laser,0,1,0
