value,name,desc,deleted,new,SISO
0,DET_RESULT_OTHER,Other,0,0,0
1,DET_RESULT_ENTITY_IMPACT,Entity Impact,0,0,0
2,DET_RESULT_ENTITY_PROXIMATE,Entity Proximate Detonation,0,0,0
3,DET_RESULT_GROUND_IMPACT,Ground Impact,0,0,0
4,DET_RESULT_GROUND_PROXIMATE,Ground Proximate Detonation,0,0,0
5,DET_RESULT_DETONATION,Detonation,0,0,0
6,DET_RESULT_NONE,None Or No Detonation,0,0,0
7,DET_RESULT_HE_HIT_SMALL,He Hit~ Small,0,0,0
8,DET_RESULT_HE_HIT_MEDIUM,He Hit~ Medium,0,0,0
9,DET_RESULT_HE_HIT_LARGE,He Hit~ Large,0,0,0
10,DET_RESULT_ARMOR_PIERCING_HIT,Armor Piercing Hit,0,0,0
11,DET_RESULT_DIRT_BLAST_SMALL,Dirt Blast~ Small,0,0,0
12,DET_RESULT_DIRT_BLAST_MEDIUM,Dirt Blast~ Medium,0,0,0
13,DET_RESULT_DIRT_BLAST_LARGE,Dirt Blast~ Large,0,0,0
14,DET_RESULT_WATER_BLAST_SMALL,Water Blast~ Small,0,0,0
15,DET_RESULT_WATER_BLAST_MEDIUM,Water Blast~ Medium,0,0,0
16,DET_RESULT_WATER_BLAST_LARGE,Water Blast~ Large,0,0,0
17,DET_RESULT_AIR_HIT,Air Hit,0,0,0
18,DET_RESULT_BUILDING_HIT_SMALL,Building Hit~ Small,0,0,0
19,DET_RESULT_BUILDING_HIT_MEDIUM,Building Hit~ Medium,0,0,0
20,DET_RESULT_BUILDING_HIT_LARGE,Building Hit~ Large,0,0,0
21,DET_RESULT_MICLIC,Mine Clearing Line Charge,0,0,0
22,DET_RESULT_ENV_OBJ_IMPACT,Environment Object Impact,0,0,0
23,DET_RESULT_ENV_OBJ_PROXIMATE,Environment Object Proximate Detonation,0,0,0
24,DET_RESULT_WATER_IMPACT,Water Impact,0,0,0
25,DET_RESULT_AIR_BURST,Air Burst,0,0,0
26,DET_RESULT_KILL_FRAG_TYPE_1,Kill With Fragment Type 1,0,0,0
27,DET_RESULT_KILL_FRAG_TYPE_2,Kill With Fragment Type 2,0,0,0
28,DET_RESULT_KILL_FRAG_TYPE_3,Kill With Fragment Type 3,0,0,0
29,DET_RESULT_KILL_FRAG_TYPE_1_FLY_OUT_FAILURE,Kill With Fragment Type 1 After Fly Out Failure,0,0,0
30,DET_RESULT_KILL_FRAG_TYPE_2_FLY_OUT_FAILURE,Kill With Fragment Type 2 After Fly Out Failure,0,0,0
31,DET_RESULT_MISS_FLY_OUT_FAILURE,Miss Due to Fly Out Failure,0,0,0
32,DET_RESULT_MISS_END_GAME_FAILURE,Miss Due to End Game Failure,0,0,0
33,DET_RESULT_MISS_FLY_OUT_END_GAME_FAILURE,Miss Due to Fly Out and End Game Failure,0,0,0
