value,name,desc,deleted,new,SISO
0,EMITTER_FUNC_OTHER,Other,0,0,0
1,EMITTER_FUNC_MULTI_FUNCTION,Multi-function,0,0,0
2,EMITTER_FUNC_EARLY_WARNING_SURVEILLANCE,Early Warning/Surveillance,0,0,0
3,EMITTER_FUNC_HEIGHT_FINDER,Height Finder,0,0,0
4,EMITTER_FUNC_FIRE_CONTROL,Fire Control,0,0,0
5,EMITTER_FUNC_ACQUISITION_DETECTION,Acquisition/Detection,0,0,0
6,EMITTER_FUNC_TRACKER,Tracker,0,0,0
7,EMITTER_FUNC_GUIDANCE_ILLUMINATION,Guidance/Illumination,0,0,0
8,EMITTER_FUNC_FIRING_POINT_LOCATION,Firing point/launch point location,0,0,0
9,EMITTER_FUNC_RANGE_ONLY,Range Only,0,0,0
10,EMITTER_FUNC_RADAR_ALTIMETER,Radar Altimeter,0,0,0
11,EMITTER_FUNC_IMAGING,Imaging,0,0,0
12,EMITTER_FUNC_MOTION_DETECTION,Motion Detection,0,0,0
13,EMITTER_FUNC_NAVIGATION,Navigation,0,0,0
14,EMITTER_FUNC_WEATHER_METEROLOGICAL,Weather / Meteorological,0,0,0
15,EMITTER_FUNC_INSTRUMENTATION,Instrumentation,0,0,0
16,EMITTER_FUNC_ID_CLASS,Identification/Classification (including IFF),0,0,0
17,EMITTER_FUNC_AAA_FIRE_CONTROL,AAA (Anti-Aircraft Artillery) Fire Control,0,0,0
18,EMITTER_FUNC_AIR_SEARCH_BOMB,Air Search / Bomb,0,0,0
19,EMITTER_FUNC_AIR_INTERCEPT,Air Intercept,0,0,0
20,EMITTER_FUNC_ALTIMETER,Altimeter,0,0,0
21,EMITTER_FUNC_AIR_MAPPING,Air Mapping,0,0,0
22,EMITTER_FUNC_AIR_TRAFFIC_CONTROL,Air Traffic Control,0,0,0
23,EMITTER_FUNC_BEACON,Beacon,0,0,0
24,EMITTER_FUNC_BATTLEFIELD_SURVEILLANCE,Battlefield Surveillance,0,0,0
25,EMITTER_FUNC_GROUND_CONTROL_APPROACH,Ground Control Approach,0,0,0
26,EMITTER_FUNC_GROUND_CONTROL_INTERCEPT,Ground Control Intercept,0,0,0
27,EMITTER_FUNC_COASTAL_SURVEILLANCE,Coastal Surveillance,0,0,0
28,EMITTER_FUNC_DECOY_MIMIC,Decoy / Mimic,0,0,0
29,EMITTER_FUNC_DATA_TRANSMISSION,Data Transmission,0,0,0
30,EMITTER_FUNC_EARTH_SURVEILLANCE,Earth Surveillance,0,0,0
31,EMITTER_FUNC_GUN_LAY_BEACON,Gun Lay Beacon,0,0,0
32,EMITTER_FUNC_GROUND_MAPPING,Ground Mapping,0,0,0
33,EMITTER_FUNC_HARBOR_SURVEILLANCE,Harbor Surveillance,0,0,0
35,EMITTER_FUNC_ILS,ILS (Instrument Landing System),0,0,0
36,EMITTER_FUNC_IONOSPHERIC_SOUND,Ionospheric Sound,0,0,0
37,EMITTER_FUNC_INTERROGATOR,Interrogator,0,0,0
38,EMITTER_FUNC_BARRAGE_JAMMER,Barrage Jammer,1,0,1
39,EMITTER_FUNC_CLICK_JAMMER,Click Jammer,1,0,1
41,EMITTER_FUNC_FREQUENCY_SWEPT_JAMMER,Frequency Swept Jammer,1,0,1
42,EMITTER_FUNC_JAMMER,Jammer,0,0,0
44,EMITTER_FUNC_PULSED_JAMMER,Pulsed Jammer,1,0,1
45,EMITTER_FUNC_REPEATER_JAMMER,Repeater Jammer,1,0,1
46,EMITTER_FUNC_SPOT_NOISE_JAMMER,Spot Noise Jammer,1,0,1
47,EMITTER_FUNC_MISSILE_ACQUISITION,Missile Acquisition,0,0,0
48,EMITTER_FUNC_MISSILE_DOWNLINK,Missile Downlink,0,0,0
50,EMITTER_FUNC_SPACE,Space,0,0,0
51,EMITTER_FUNC_SURFACE_SEARCH_,Surface Search ,0,0,0
52,EMITTER_FUNC_SHELL_TRACKING,Shell Tracking,0,0,0
56,EMITTER_FUNC_TELEVISION,Television,0,0,0
57,EMITTER_FUNC_UNKNOWN,Unknown,0,0,0
58,EMITTER_FUNC_VIDEO_REMOTING,Video Remoting,0,0,0
59,EMITTER_FUNC_EXPERIMENTAL,Experimental or Training,0,0,0
60,EMITTER_FUNC_MISSILE_GUIDANCE,Missile Guidance,0,0,0
61,EMITTER_FUNC_MISSILE_HOMING,Missile Homing,0,0,0
62,EMITTER_FUNC_MISSILE_TRACKING,Missile Tracking,0,0,0
64,EMITTER_FUNC_JAMMER_NOISE,Jammer~ Noise,1,0,1
65,EMITTER_FUNC_JAMMER_DECEPTION,Jammer~ Deception,1,0,1
71,EMITTER_FUNC_NAV_DIST_MEASURING_EQUIPMENT,Navigation / Distance Measuring Equipment,0,0,0
72,EMITTER_FUNC_TERRAIN_FOLLOWING,Terrain Following,0,0,0
73,EMITTER_FUNC_WEATHER_AVOIDANCE,Weather Avoidance,0,0,0
74,EMITTER_FUNC_PROXIMITY_FUSE,Proximity Fuse,0,0,0
76,EMITTER_FUNC_RADIOSONDE,Radiosonde,0,0,0
77,EMITTER_FUNC_SONOBUOY,Sonobuoy,0,0,0
78,EMITTER_FUNC_BATHYTHERMAL_SENSOR,Bathythermal Sensor,0,0,0
79,EMITTER_FUNC_TOWED_COUNTER_MEASURE,Towed Counter Measure,0,0,0
96,EMITTER_FUNC_WEAPON_NON_LETHAL,Weapon~ Non-lethal,0,0,0
97,EMITTER_FUNC_WEAPON_LETHAL,Weapon~ Lethal,0,0,0
