value,name,national_desc,nato_desc,comm_designation_desc,deleted,new,SISO
10,EMITTER_1RL138,1RL138,0,0,0,0,0
45,EMITTER_1226_DECCA_MIL,1226 DECCA MIL,0,0,0,0,0
80,EMITTER_9GR400,9GR400,0,0,0,0,0
90,EMITTER_9GR600,9GR600,0,0,0,0,0
135,EMITTER_9LV_200_TA,9LV 200 TA,0,0,0,0,0
180,EMITTER_9LV_200_TV,9LV 200 TV,0,0,0,0,0
225,EMITTER_A310Z,0,A310Z,0,0,0,0
270,EMITTER_A325A,0,A325A,0,0,0,0
315,EMITTER_A346Z,0,A346Z,0,0,0,0
360,EMITTER_A353B,0,A353B,0,0,0,0
405,EMITTER_A372A,0,A372A,0,0,0,0
450,EMITTER_A372B,0,A372B,0,0,0,0
495,EMITTER_A372C,0,A372C,0,0,0,0
540,EMITTER_A377A,0,A377A,0,0,0,0
585,EMITTER_A377B,0,A377B,0,0,0,0
630,EMITTER_A380Z,0,A380Z,0,0,0,0
675,EMITTER_A381Z,0,A381Z,0,0,0,0
720,EMITTER_A398Z,0,A398Z,0,0,0,0
765,EMITTER_A403Z,0,A403Z,0,0,0,0
810,EMITTER_A409A,0,A409A,0,0,0,0
855,EMITTER_A418A,0,A418A,0,0,0,0
900,EMITTER_A419Z,0,A419Z,0,0,0,0
945,EMITTER_A429Z,0,A429Z,0,0,0,0
990,EMITTER_A432Z,0,A432Z,0,0,0,0
1035,EMITTER_A434Z,0,A434Z,0,0,0,0
1080,EMITTER_A401A,0,A401A,0,0,0,0
1095,EMITTER_AA_12_SEEKER,AA-12 Seeker,0,0,0,0,0
1100,EMITTER_AGAVE,Agave,0,0,0,0,0
1125,EMITTER_AGRION_15,AGRION 15,0,0,0,0,0
1170,EMITTER_AI_MK_23,AI MK 23,0,0,0,0,0
1215,EMITTER_AIDA_II,AIDA II,0,0,0,0,0
1260,EMITTER_ALBATROS_MK2,Albatros MK2,0,0,0,0,0
1280,EMITTER_BOX_SPRING,1L13-3 (55G6),Box Spring,0,0,0,0
1282,EMITTER_BOX_SPRING_B,1L13-3 (55G6),Box Spring B,0,0,0,0
1305,EMITTER_ANA_SPS_502,ANA SPS 502,0,0,0,0,0
1350,EMITTER_ANRITSU_ELECTRIC_AR_30A,ANRITSU Electric AR-30A,0,0,0,0,0
1395,EMITTER_ANTILOPE_V,Antilope V,0,0,0,0,0
1400,EMITTER_AN_ALE_50,AN/ALE-50,0,0,0,0,0
1410,EMITTER_AN_ALQ_76,AN/ALQ-76,0,0,0,1,1
1440,EMITTER_AN_ALQ_99,AN/ALQ-99,0,0,0,0,0
1485,EMITTER_AN_ALQ_100,AN/ALQ-100,0,0,0,0,0
1530,EMITTER_AN_ALQ_101,AN/ALQ-101,0,0,0,0,0
1575,EMITTER_AN_ALQ_119,AN/ALQ-119,0,0,0,0,0
