value,name,desc
0,ENT_CNTRY_OTHER,Other
1,ENT_CNTRY_AFGHANISTAN,Afghanistan
2,ENT_CNTRY_ALBANIA,Albania
3,ENT_CNTRY_ALGERIA,Algeria
4,ENT_CNTRY_AMERICAN_SAMOA,American Samoa
5,ENT_CNTRY_ANDORRA,Andorra
6,ENT_CNTRY_ANGOLA,Angola
7,ENT_CNTRY_ANGUILLA_ANTARCTICA,Anguilla Antarctica
8,ENT_CNTRY_ANTIGUA_AND_BARBUDA,Antigua and Barbuda
9,ENT_CNTRY_UNUSED_9,Unused Country 9
10,ENT_CNTRY_ARGENTINA,Argentina
11,ENT_CNTRY_ARUBA,Aruba
12,ENT_CNTRY_ASHMORE_AND_CARTIER_ISLANDS,Ashmore and Cartier Islands
13,ENT_CNTRY_AUSTRALIA,Australia
14,ENT_CNTRY_AUSTRIA,Austria
15,ENT_CNTRY_BAHAMAS,Bahamas
16,ENT_CNTRY_BAHRAIN,Bahrain
17,ENT_CNTRY_BAKER_ISLAND,Baker Island
18,ENT_CNTRY_BANGLADESH,Bangladesh
19,ENT_CNTRY_BARBADOS,Barbados
20,ENT_CNTRY_BASSAS_DA_INDIA,Bassas Da India
21,ENT_CNTRY_BELGIUM,Belgium
22,ENT_CNTRY_BELIZE,Belize
23,ENT_CNTRY_BENIN,Benin
24,ENT_CNTRY_BERMUDA,Bermuda
25,ENT_CNTRY_BHUTAN,Bhutan
26,ENT_CNTRY_BOLIVIA,Bolivia
27,ENT_CNTRY_BOTSWANA,Botswana
28,ENT_CNTRY_BOUVET_ISLAND,Bouvet Island
29,ENT_CNTRY_BRAZIL,Brazil
30,ENT_CNTRY_BRITISH_INDIAN_OCEAN_TERRITORY,British Indian Ocean Territory
31,ENT_CNTRY_BRITISH_VIRGIN_ISLANDS,British Virgin Islands
32,ENT_CNTRY_BRUNEI,Brunei
33,ENT_CNTRY_BULGARIA,Bulgaria
34,ENT_CNTRY_BURKINA,Burkina
35,ENT_CNTRY_MYANMAR,Myanmar
36,ENT_CNTRY_BURUNDI,Burundi
37,ENT_CNTRY_CAMBODIA,Cambodia
38,ENT_CNTRY_CAMEROON,Cameroon
39,ENT_CNTRY_CANADA,Canada
40,ENT_CNTRY_REPUBLIC_OF_CAPE_VERDE,Republic of Cape Verde
41,ENT_CNTRY_CAYMAN_ISLANDS,Cayman Islands
42,ENT_CNTRY_CENTRAL_AFRICAN_REPUBLIC,Central African Republic
43,ENT_CNTRY_CHAD,Chad
44,ENT_CNTRY_CHILE,Chile
45,ENT_CNTRY_PEOPLES_REPUBLIC_OF_CHINA,Peoples Republic of China
46,ENT_CNTRY_CHRISTMAS_ISLAND,Christmas Island
47,ENT_CNTRY_COCOS_ISLANDS,Cocos Islands
48,ENT_CNTRY_COLOMBIA,Colombia
49,ENT_CNTRY_COMOROS,Comoros
50,ENT_CNTRY_REPUBLIC_OF_CONGO,Republic of Congo
51,ENT_CNTRY_COOK_ISLANDS,Cook Islands
52,ENT_CNTRY_CORAL_SEA_ISLANDS,Coral Sea Islands
53,ENT_CNTRY_COSTA_RICA,Costa Rica
54,ENT_CNTRY_CUBA,Cuba
55,ENT_CNTRY_CYPRUS,Cyprus
56,ENT_CNTRY_CZECHOSLOVAKIA,Czechoslovakia
57,ENT_CNTRY_DENMARK,Denmark
58,ENT_CNTRY_DJIBOUTI,Djibouti
59,ENT_CNTRY_DOMINICA,Dominica
60,ENT_CNTRY_DOMINICAN_REPUBLIC,Dominican Republic
61,ENT_CNTRY_ECUADOR,Ecuador
62,ENT_CNTRY_EGYPT,Egypt
63,ENT_CNTRY_EL_SALVADOR,El Salvador
64,ENT_CNTRY_EQUATORIAL_GUINEA,Equatorial Guinea
65,ENT_CNTRY_ETHIOPIA,Ethiopia
66,ENT_CNTRY_EUROPA_ISLAND,Europa Island
67,ENT_CNTRY_FALKLAND_ISLANDS,Falkland Islands
68,ENT_CNTRY_FAROE_ISLANDS,Faroe Islands
69,ENT_CNTRY_FIJI,Fiji
70,ENT_CNTRY_FINLAND,Finland
71,ENT_CNTRY_FRANCE,France
72,ENT_CNTRY_FRENCH_GUIANA,French Guiana
