value,name,desc,deleted,new,SISO
0,FORCE_ID_OTHER,Other,0,0,0
1,FORCE_ID_FRIENDLY,Friendly,0,0,0
2,FORCE_ID_OPPOSING,Opposing,0,0,0
3,FORCE_ID_NEUTRAL,Neutral,0,0,0
4,FORCE_ID_FRIENDLY_2,Friendly 2,0,0,0
5,FORCE_ID_OPPOSING_2,Opposing 2,0,0,0
6,FORCE_ID_NEUTRAL_2,Neutral 2,0,0,0
7,FORCE_ID_FRIENDLY_3,Friendly 3,0,0,0
8,FORCE_ID_OPPOSING_3,Opposing 3,0,0,0
9,FORCE_ID_NEUTRAL_3,Neutral 3,0,0,0
10,FORCE_ID_FRIENDLY_4,Friendly 4,0,0,0
11,FORCE_ID_OPPOSING_4,Opposing 4,0,0,0
12,FORCE_ID_NEUTRAL_4,Neutral 4,0,0,0
13,FORCE_ID_FRIENDLY_5,Friendly 5,0,0,0
14,FORCE_ID_OPPOSING_5,Opposing 5,0,0,0
15,FORCE_ID_NEUTRAL_5,Neutral 5,0,0,0
16,FORCE_ID_FRIENDLY_6,Friendly 6,0,0,0
17,FORCE_ID_OPPOSING_6,Opposing 6,0,0,0
18,FORCE_ID_NEUTRAL_6,Neutral 6,0,0,0
19,FORCE_ID_FRIENDLY_7,Friendly 7,0,0,0
20,FORCE_ID_OPPOSING_7,Opposing 7,0,0,0
21,FORCE_ID_NEUTRAL_7,Neutral 7,0,0,0
22,FORCE_ID_FRIENDLY_8,Friendly 8,0,0,0
23,FORCE_ID_OPPOSING_8,Opposing 8,0,0,0
24,FORCE_ID_NEUTRAL_8,Neutral 8,0,0,0
25,FORCE_ID_FRIENDLY_9,Friendly 9,0,0,0
26,FORCE_ID_OPPOSING_9,Opposing 9,0,0,0
27,FORCE_ID_NEUTRAL_9,Neutral 9,0,0,0
28,FORCE_ID_FRIENDLY_10,Friendly 10,0,0,0
29,FORCE_ID_OPPOSING_10,Opposing 10,0,0,0
30,FORCE_ID_NEUTRAL_10,Neutral 10,0,0,0
