value,name,desc,deleted,new,SISO
0,FUSE_BURST_DESC_OTHER,Other,0,0,0
10,FUSE_BURST_DESC_INTELLIGENT_INFLUENCE,Intelligent Influence,0,0,0
20,FUSE_BURST_DESC_SENSOR,Sensor,0,0,0
30,FUSE_BURST_DESC_SELF_DESTRUCT,Self-destruct,0,0,0
40,FUSE_BURST_DESC_ULTRA_QUICK,Ultra Quick,0,0,0
50,FUSE_BURST_DESC_BODY,Body,0,0,0
60,FUSE_BURST_DESC_DEEP_INTRUSION,Deep Intrusion,0,0,0
100,FUSE_BURST_DESC_MULTIFUNCTION_,Multifunction ,0,0,0
200,FUSE_BURST_DESC_POINT_DETONATION_PD,Point Detonation (PD),0,0,0
300,FUSE_BURST_DESC_BASE_DETONATION_BD,Base Detonation (BD),0,0,0
1000,FUSE_BURST_DESC_CONTACT,Contact,0,0,0
1100,FUSE_BURST_DESC_CONTACT_INSTANT_IMPACT,Contact~ Instant (Impact),0,0,0
1200,FUSE_BURST_DESC_CONTACT_DELAYED,Contact~ Delayed,0,0,0
1201,FUSE_BURST_DESC_CONTACT_DELAYED_10_MS,Contact~ Delayed 10 ms,0,0,0
1202,FUSE_BURST_DESC_CONTACT_DELAYED_20_MS,Contact~ Delayed 20 ms,0,0,0
1205,FUSE_BURST_DESC_CONTACT_DELAYED_50_MS,Contact~ Delayed 50 ms,0,0,0
1206,FUSE_BURST_DESC_CONTACT_DELAYED_60_MS,Contact~ Delayed 60 ms,0,0,0
1210,FUSE_BURST_DESC_CONTACT_DELAYED_100_MS,Contact~ Delayed 100 ms,0,0,0
1212,FUSE_BURST_DESC_CONTACT_DELAYED_125_MS,Contact~ Delayed 125 ms,0,0,0
1225,FUSE_BURST_DESC_CONTACT_DELAYED_250_MS,Contact~ Delayed 250 ms,0,0,0
1300,FUSE_BURST_DESC_CONTACT_ELECTRONIC_OBLIQUE,Contact~ Electronic (Oblique Contact),0,0,0
1400,FUSE_BURST_DESC_CONTACT_GRAZE,Contact~ Graze,0,0,0
1500,FUSE_BURST_DESC_CONTACT_CRUSH,Contact~ Crush,0,0,0
1600,FUSE_BURST_DESC_CONTACT_HYDROSTATIC,Contact~ Hydrostatic,0,0,0
1700,FUSE_BURST_DESC_CONTACT_MECHANICAL,Contact~ Mechanical,0,0,0
1800,FUSE_BURST_DESC_CONTACT_CHEMICAL,Contact~ Chemical,0,0,0
1900,FUSE_BURST_DESC_CONTACT_PIEZOELECTRIC,Contact~ Piezoelectric,0,0,0
1910,FUSE_BURST_DESC_CONTACT_POINT_INITIATING,Contact~ Point Initiating,0,0,0
1920,FUSE_BURST_DESC_CONTACT_POINT_INITIATING_BASE_DETONATING,Contact~ Point Initiating~ Base Detonating,0,0,0
1930,FUSE_BURST_DESC_CONTACT_BASE_DETONATING,Contact~ Base Detonating,0,0,0
1940,FUSE_BURST_DESC_CONTACT_BALLISTIC_CAP_AND_BASE,Contact~ Ballistic Cap and Base,0,0,0
1950,FUSE_BURST_DESC_CONTACT_BASE,Contact~ Base,0,0,0
1960,FUSE_BURST_DESC_CONTACT_NOSE,Contact~ Nose,0,0,0
1970,FUSE_BURST_DESC_CONTACT_FITTED_IN_STANDOFF_PROBE,Contact~ Fitted in Standoff Probe,0,0,0
1980,FUSE_BURST_DESC_CONTACT_NON_ALIGNED,Contact~ Non-aligned,0,0,0
2000,FUSE_BURST_DESC_TIMED,Timed,0,0,0
2100,FUSE_BURST_DESC_TIMED_PROGRAMMABLE,Timed~ Programmable,0,0,0
2200,FUSE_BURST_DESC_TIMED_BURNOUT,Timed~ Burnout,0,0,0
2300,FUSE_BURST_DESC_TIMED_PYROTECHNIC,Timed~ Pyrotechnic,0,0,0
2400,FUSE_BURST_DESC_TIMED_ELECTRONIC,Timed~ Electronic,0,0,0
2500,FUSE_BURST_DESC_TIMED_BASE_DELAY,Timed~ Base Delay,0,0,0
2600,FUSE_BURST_DESC_TIMED_REINFORCED_NOSE_IMPACT_DELAY,Timed~ Reinforced Nose Impact Delay,0,0,0
2700,FUSE_BURST_DESC_TIMED_SHORT_DELAY_IMPACT,Timed~ Short Delay Impact,0,0,0
2701,FUSE_BURST_DESC_TIMED_SHORT_DELAY_IMPACT_10_MS,Timed~ Short Delay Impact 10 ms,0,0,0
2702,FUSE_BURST_DESC_TIMED_SHORT_DELAY_IMPACT_20_MS,Timed~ Short Delay Impact 20 ms,0,0,0
2705,FUSE_BURST_DESC_TIMED_SHORT_DELAY_IMPACT_50_MS,Timed~ Short Delay Impact 50 ms,0,0,0
2706,FUSE_BURST_DESC_TIMED_SHORT_DELAY_IMPACT_60_MS,Timed~ Short Delay Impact 60 ms,0,0,0
2710,FUSE_BURST_DESC_TIMED_SHORT_DELAY_IMPACT_100_MS,Timed~ Short Delay Impact 100 ms,0,0,0
2712,FUSE_BURST_DESC_TIMED_SHORT_DELAY_IMPACT_125_MS,Timed~ Short Delay Impact 125 ms,0,0,0
2725,FUSE_BURST_DESC_TIMED_SHORT_DELAY_IMPACT_250_MS,Timed~ Short Delay Impact 250 ms,0,0,0
2800,FUSE_BURST_DESC_TIMED_NOSE_MOUNTED_VARIABLE_DELAY,Timed~ Nose Mounted Variable Delay,0,0,0
2900,FUSE_BURST_DESC_TIMED_LONG_DELAY_SIDE,Timed~ Long Delay Side,0,0,0
2910,FUSE_BURST_DESC_TIMED_SELECTABLE_DELAY,Timed~ Selectable Delay,0,0,0
2920,FUSE_BURST_DESC_TIMED_IMPACT,Timed~ Impact,0,0,0
2930,FUSE_BURST_DESC_TIMED_SEQUENCE,Timed~ Sequence,0,0,0
3000,FUSE_BURST_DESC_PROXIMITY,Proximity,0,0,0
3100,FUSE_BURST_DESC_PROXIMITY_ACTIVE_LASER,Proximity~ Active Laser,0,0,0
3200,FUSE_BURST_DESC_PROXIMITY_MAGNETIC,Proximity~ Magnetic (Magpolarity),0,0,0
3300,FUSE_BURST_DESC_PROXIMITY_ACTIVE_RADAR_DOPPLER,Proximity~ Active Radar (Doppler Radar),0,0,0
3400,FUSE_BURST_DESC_PROXIMITY_RADIO_FREQUENCY,Proximity~ Radio Frequency (RF),0,0,0
3500,FUSE_BURST_DESC_PROXIMITY_PROGRAMMABLE,Proximity~ Programmable,0,0,0
3600,FUSE_BURST_DESC_PROXIMITY_PROGRAMMABLE_PREFRAG,Proximity~ Programmable~ Prefragmented,0,0,0
3700,FUSE_BURST_DESC_PROXIMITY_INFRARED,Proximity~ Infrared,0,0,0
4000,FUSE_BURST_DESC_COMMAND,Command,0,0,0
4100,FUSE_BURST_DESC_COMMAND_ELECTRONIC_REMOTELY_SET,Command~ Electronic~ Remotely Set,0,0,0
5000,FUSE_BURST_DESC_ALTITUDE,Altitude,0,0,0
5100,FUSE_BURST_DESC_ALTITUDE_RADIO_ALTIMETER,Altitude~ Radio Altimeter,0,0,0
5200,FUSE_BURST_DESC_ALTITUDE_AIR_BURST,Altitude~ Air Burst,0,0,0
6000,FUSE_BURST_DESC_DEPTH,Depth,0,0,0
7000,FUSE_BURST_DESC_ACOUSTIC,Acoustic,0,0,0
8000,FUSE_BURST_DESC_PRESSURE,Pressure,0,0,0
8010,FUSE_BURST_DESC_PRESSURE_DELAY,Pressure~ Delay,0,0,0
8100,FUSE_BURST_DESC_INERT,Inert,0,0,0
8110,FUSE_BURST_DESC_DUMMY,Dummy,0,0,0
8120,FUSE_BURST_DESC_PRACTICE,Practice,0,0,0
8130,FUSE_BURST_DESC_PLUG_REPRESENTING,Plug Representing,0,0,0
8150,FUSE_BURST_DESC_TRAINING,Training,0,0,0
9000,FUSE_BURST_DESC_PYROTECHNIC,Pyrotechnic,0,0,0
9010,FUSE_BURST_DESC_PYROTECHNIC_DELAY,Pyrotechnic~ Delay,0,0,0
9100,FUSE_BURST_DESC_ELECTRO_OPTICAL,Electro-optical,0,0,0
9110,FUSE_BURST_DESC_ELECTROMECHANICAL,Electromechanical,0,0,0
9120,FUSE_BURST_DESC_ELECTROMECHANICAL_NOSE,Electromechanical~ Nose,0,0,0
9200,FUSE_BURST_DESC_STRIKERLESS,Strikerless,0,0,0
9210,FUSE_BURST_DESC_STRIKERLESS_NOSE_IMPACT,Strikerless~ Nose Impact,0,0,0
9220,FUSE_BURST_DESC_STRIKERLESS_COMPRESSION_IGNITION,Strikerless~ Compression-Ignition,0,0,0
9300,FUSE_BURST_DESC_COMPRESSION_IGNITION,Compression-Ignition,0,0,0
9310,FUSE_BURST_DESC_COMPRESSION_IGNITION_STRIKERLESS_NOSE_IMPACT,Compression-Ignition~ Strikerless~ Nose Impact,0,0,0
9400,FUSE_BURST_DESC_PERCUSSION,Percussion,0,0,0
9410,FUSE_BURST_DESC_PERCUSSION_INSTANTANEOUS,Percussion~ Instantaneous,0,0,0
9500,FUSE_BURST_DESC_ELECTRONIC,Electronic,0,0,0
9510,FUSE_BURST_DESC_ELECTRONIC_INTERNALLY_MOUNTED,Electronic~ Internally Mounted,0,0,0
9520,FUSE_BURST_DESC_ELECTRONIC_RANGE_SETTING,Electronic~ Range Setting,0,0,0
9530,FUSE_BURST_DESC_ELECTRONIC_PROGRAMMED,Electronic~ Programmed,0,0,0
9600,FUSE_BURST_DESC_MECHANICAL,Mechanical,0,0,0
9610,FUSE_BURST_DESC_MECHANICAL_NOSE,Mechanical~ Nose,0,0,0
9620,FUSE_BURST_DESC_MECHANICAL_TAIL,Mechanical~ Tail,0,0,0
