value,name,desc,new
0,LF_HUMAN_AGE_NOT_SPECIFIED,Not Specified,1
1,LF_HUMAN_AGE_NEWBORN,Newborn (0-3 months),1
2,LF_HUMAN_AGE_INFANT,Infant (3 months-1 year),1
3,LF_HUMAN_AGE_TODDLER,Toddler (1-3 years),1
4,LF_HUMAN_AGE_SMALL_CHILD,Small Child (3-6 years),1
5,LF_HUMAN_AGE_CHILD,Child (6-10 years),1
6,LF_HUMAN_AGE_ADOLESCENT,Adolescent (10-12 years),1
7,LF_HUMAN_AGE_TEENAGER,Teenager (13-16 years),1
8,LF_HUMAN_AGE_EARLY_ADULTHOOD,Early Adulthood (17-25 years),1
9,LF_HUMAN_AGE_MIDDLE_ADULTHOOD,Middle Adulthood (26-40 years),1
10,LF_HUMAN_AGE_LATE_ADULTHOOD,Late Adulthood (41-55 years),1
11,LF_HUMAN_AGE_SENIOR,Senior (55-70 years),1
12,LF_HUMAN_AGE_ELDERLY,Elderly (71+ years),1
13,LF_HUMAN_AGE_CENTURION,Centurion (100+ years),1
