value,name,desc,deleted,new,SISO
0,IFF_SYS_NAME_OTHER,Not Used,0,0,0
1,IFF_SYS_NAME_MARK_X,Generic Mark X,0,0,0
2,IFF_SYS_NAME_MARK_XII,Generic Mark XII,0,0,0
3,IFF_SYS_NAME_ATCRBS,Generic ATCRBS,0,0,0
4,IFF_SYS_NAME_SOVIET,Generic Soviet,0,0,0
5,IFF_SYS_NAME_MODE_S,Generic Mode S,0,0,0
6,IFF_SYS_NAME_MARK_X_XII_ATCRBS,Generic Mark X/XII/ATCRBS,0,0,0
7,IFF_SYS_NAME_MARK_X_XII_ATCRBS_MODE_S,Generic Mark X/XII/ATCRBS/Mode S,0,0,0
8,IFF_SYS_NAME_ARI_5954,ARI 5954 (RRB),0,0,0
9,IFF_SYS_NAME_ARI_5983,ARI 5983 (RRB),0,0,0
10,IFF_SYS_NAME_RRB,Generic RRB ,0,0,0
11,IFF_SYS_NAME_MARK_XIIA,Generic Mark XIIA   ,0,0,0
12,IFF_SYS_NAME_MODE_5,Generic Mode 5,0,0,0
13,IFF_SYS_NAME_MARK_XIIA_CIT,Generic Mark XIIA Combined Interrogator/Transponder (CIT) ,0,0,0
14,IFF_SYS_NAME_MARK_XII_CIT,Generic Mark XII Combined Interrogator/Transponder (CIT) ,0,0,0
15,IFF_SYS_NAME_TCAS_I_ACAS_I_TRANSCEIVER,Generic TCAS I/ACAS I Transceiver,0,0,0
16,IFF_SYS_NAME_TCAS_II_ACAS_II_TRANSCEIVER,Generic TCAS II/ACAS II Transceiver,0,0,0
17,IFF_SYS_NAME_MARK_X_A,Generic Mark X (A),0,0,0
18,IFF_SYS_NAME_MARK_X_SIF,Generic Mark X (SIF),0,0,0
