value,name,desc,new
0,LF_CLOTH_SCHEME_DEFAULT,Default,1
1,LF_CLOTH_SCHEME_SOLID,Solid Color (Primary),1
2,LF_CLOTH_SCHEME_TWO_TONE,Two Tone (top primary~ bottom secondary),1
3,LF_CLOTH_SCHEME_UNI_SOLID_MILITARY,Uniformed Solid Color (Military),1
4,LF_CLOTH_SCHEME_UNI_SOLID_CIVILIAN,Uniformed Solid Color (Civilian),1
5,LF_CLOTH_SCHEME_CAMO_DESERT,Camouflage~ Desert,1
6,LF_CLOTH_SCHEME_CAMO_JUNGLE,Camouflage~ Jungle,1
7,LF_CLOTH_SCHEME_CAMO_SNOW,Camouflage~ Snow,1
8,LF_CLOTH_SCHEME_CAMO_GRAVEL,Camouflage~ Gravel,1
9,LF_CLOTH_SCHEME_CAMO_PAVEMENT,Camouflage~ Pavement,1
10,LF_CLOTH_SCHEME_CAMO_SAND,Camouflage~ Sand,1
11,LF_CLOTH_SCHEME_CAMO_FOREST,Camouflage~ Forest,1
12,LF_CLOTH_SCHEME_NAKED,Naked,1
13,LF_CLOTH_SCHEME_TOPLESS,Topless (but not bottomless),1
14,LF_CLOTH_SCHEME_BOTTOMLESS,Bottomless (but not topless),1
15,LF_CLOTH_SCHEME_INDIGENOUS,Indigenous Clothing,1
16,LF_CLOTH_SCHEME_TRADITIONAL,Traditional Clothing,1
