value,name,desc
0,LF_COMPLIANCE_OTHER,Other
1,LF_COMPLIANCE_DETAINED,Detained
2,LF_COMPLIANCE_SURRENDER,Surrender
3,LF_COMPLIANCE_USING_FISTS,Using Fists
4,LF_COMPLIANCE_VERBAL_ABUSE_LEVEL_1,Verbal Abuse Level 1
5,LF_COMPLIANCE_VERBAL_ABUSE_LEVEL_2,Verbal Abuse Level 2
6,LF_COMPLIANCE_VERBAL_ABUSE_LEVEL_3,Verbal Abuse Level 3
7,LF_COMPLIANCE_PASSIVE_RESISTANCE_LEVEL_1,Passive Resistance Level 1
8,LF_COMPLIANCE_PASSIVE_RESISTANCE_LEVEL_2,Passive Resistance Level 2
9,LF_COMPLIANCE_PASSIVE_RESISTANCE_LEVEL_3,Passive Resistance Level 3
10,LF_COMPLIANCE_USING_NON_LETHAL_WEAPON_1,Using Non-lethal Weapon 1
11,LF_COMPLIANCE_USING_NON_LETHAL_WEAPON_2,Using Non-lethal Weapon 2
12,LF_COMPLIANCE_USING_NON_LETHAL_WEAPON_3,Using Non-lethal Weapon 3
13,LF_COMPLIANCE_USING_NON_LETHAL_WEAPON_4,Using Non-lethal Weapon 4
14,LF_COMPLIANCE_USING_NON_LETHAL_WEAPON_5,Using Non-lethal Weapon 5
15,LF_COMPLIANCE_USING_NON_LETHAL_WEAPON_6,Using Non-lethal Weapon 6
