value,name,desc
0,LF_POSTURE_OTHER,Other
1,LF_POSTURE_UPRIGHT_STANDING_STILL,Upright~ Standing Still
2,LF_POSTURE_UPRIGHT_WALKING,Upright~ Walking
3,LF_POSTURE_UPRIGHT_RUNNING,Upright~ Running
4,LF_POSTURE_KNEELING,Kneeling
5,LF_POSTURE_PRONE,Prone
6,LF_POSTURE_CRAWLING,Crawling
7,LF_POSTURE_SWIMMING,Swimming
8,LF_POSTURE_PARACHUTING,Parachuting
9,LF_POSTURE_JUMPING,Jumping
10,LF_POSTURE_SITTING,Sitting
11,LF_POSTURE_SQUATTING,Squatting
12,LF_POSTURE_CROUCHING,Crouching
13,LF_POSTURE_WADING,Wading
14,LF_POSTURE_SURRENDER,Surrender
15,LF_POSTURE_DETAINED,Detained
