value,name,desc,deleted,new,SISO
0,PDU_FAMILY_OTHER,Other,0,0,0
1,PDU_FAMILY_ENTITY_INFORMATION_INTERACTION,Entity Information/Interaction,0,0,0
2,PDU_FAMILY_WARFARE,Warfare,0,0,0
3,PDU_FAMILY_LOGISTICS,Logistics,0,0,0
4,PDU_FAMILY_RADIO_COMMUNICATION,Radio Communication,0,0,0
5,PDU_FAMILY_SIMULATION_MANAGEMENT,Simulation Management,0,0,0
6,PDU_FAMILY_DISTRIBUTED_EMISSION_REGENERATION,Distributed Emission Regeneration,0,0,0
7,PDU_FAMILY_ENTITY_MANAGEMENT,Entity Management,0,0,0
8,PDU_FAMILY_MINEFIELD,Minefield,0,0,0
9,PDU_FAMILY_SYNTHETIC_ENVIRONMENT,Synthetic Environment,0,0,0
10,PDU_FAMILY_SIMULATION_MANAGEMENT_WITH_RELIABILITY,Simulation Management with Reliability,0,0,0
11,PDU_FAMILY_LIVE_ENTITY,Live Entity,0,0,0
12,PDU_FAMILY_NON_REAL_TIME,Non-Real Time,0,0,0
13,PDU_FAMILY_INFO_OPS,Information Operations,0,0,0
130,PDU_FAMILY_EXPERIMENTAL_V_DIS,Experimental V-DIS,0,1,0
