value,name,desc,deleted,new,SISO
0,PDU_TYPE_OTHER,Other,0,0,0
1,PDU_TYPE_ENTITY_STATE,Entity State,0,0,0
2,PDU_TYPE_FIRE,Fire,0,0,0
3,PDU_TYPE_DETONATION,Detonation,0,0,0
4,PDU_TYPE_COLLISION,Collision,0,0,0
5,PDU_TYPE_SERVICE_REQ,Service Request,0,0,0
6,PDU_TYPE_RESUPPLY_OFFER,Resupply Offer,0,0,0
7,PDU_TYPE_RESUPPLY_RECEIVED,Resupply Received,0,0,0
8,PDU_TYPE_RESUPPLY_CANCEL,Resupply Cancel,0,0,0
9,PDU_TYPE_REPAIR_COMPLETE,Repair Complete,0,0,0
10,PDU_TYPE_REPAIR_RESPONSE,Repair Response,0,0,0
11,PDU_TYPE_CREATE_ENTITY,Create Entity,0,0,0
12,PDU_TYPE_REMOVE_ENTITY,Remove Entity,0,0,0
13,PDU_TYPE_START_RESUME,Start / Resume,0,0,0
14,PDU_TYPE_STOP_FREEZE,Stop / Freeze,0,0,0
15,PDU_TYPE_ACKNOWLEDGE,Acknowledge,0,0,0
16,PDU_TYPE_ACTION_REQUEST,Action Request,0,0,0
17,PDU_TYPE_ACTION_RESPONSE,Action Response,0,0,0
18,PDU_TYPE_DATA_QUERY,Data Query,0,0,0
19,PDU_TYPE_SET_DATA,Set Data,0,0,0
20,PDU_TYPE_DATA,Data,0,0,0
21,PDU_TYPE_EVENT_REPORT,Event Report,0,0,0
22,PDU_TYPE_COMMENT,Comment,0,0,0
23,PDU_TYPE_EM_EMISSION,Electromagnetic Emission,0,0,0
24,PDU_TYPE_DESIGNATOR,Designator,0,0,0
25,PDU_TYPE_TRANSMITTER,Transmitter,0,0,0
26,PDU_TYPE_SIGNAL,Signal,0,0,0
27,PDU_TYPE_RECEIVER,Receiver,0,0,0
28,PDU_TYPE_IFF,Identification Friend or Foe,0,0,0
29,PDU_TYPE_UNDERWATER_ACOUSTIC,Underwater Acoustic,0,0,0
30,PDU_TYPE_SEES,Supplemental Emission / Entity State,0,0,0
31,PDU_TYPE_INTERCOM_SIGNAL,Intercom Signal,0,0,0
32,PDU_TYPE_INTERCOM_CONTROL,Intercom Control,0,0,0
33,PDU_TYPE_AGGREGATE_STATE,Aggregate State,0,0,0
34,PDU_TYPE_ISGROUPOF,Is Group Of,0,0,0
35,PDU_TYPE_TRANSFER_OWNERSHIP,Transfer Ownership,0,0,0
36,PDU_TYPE_ISPARTOF,Is Part Of,0,0,0
37,PDU_TYPE_MINEFIELD_STATE,Minefield State,0,0,0
38,PDU_TYPE_MINEFIELD_QUERY,Minefield Query,0,0,0
39,PDU_TYPE_MINEFIELD_DATA,Minefield Data,0,0,0
40,PDU_TYPE_MINEFIELD_RESPONSE_NAK,Minefield Response NAK,0,0,0
41,PDU_TYPE_ENVIRONMENTAL_PROCESS,Environmental Process,0,0,0
42,PDU_TYPE_GRIDDED_DATA,Gridded Data,0,0,0
43,PDU_TYPE_POINT_OBJECT_STATE,Point Object State,0,0,0
44,PDU_TYPE_LINEAR_OBJECT_STATE,Linear Object State,0,0,0
45,PDU_TYPE_AREAL_OBJECT_STATE,Areal Object State,0,0,0
46,PDU_TYPE_TSPI,TSPI,0,0,0
47,PDU_TYPE_APPEARANCE,Appearance,0,0,0
48,PDU_TYPE_ARTICULATED_PARTS,Articulated Parts,0,0,0
49,PDU_TYPE_LE_FIRE,Live Entity Fire,0,0,0
50,PDU_TYPE_LE_DETONATION,Live Entity Detonation,0,0,0
51,PDU_TYPE_CREATE_ENTITY_R,Create Entity-R,0,0,0
52,PDU_TYPE_REMOVE_ENTITY_R,Remove Entity-R,0,0,0
53,PDU_TYPE_START_RESUME_R,Start / Resume-R,0,0,0
54,PDU_TYPE_STOP_FREEZE_R,Stop / Freeze-R,0,0,0
55,PDU_TYPE_ACKNOWLEDGE_R,Acknowledge-R,0,0,0
56,PDU_TYPE_ACTION_REQUEST_R,Action Request-R,0,0,0
57,PDU_TYPE_ACTION_RESPONSE_R,Action Response-R,0,0,0
58,PDU_TYPE_DATA_QUERY_R,Data Query-R,0,0,0
59,PDU_TYPE_SET_DATA_R,Set Data-R,0,0,0
60,PDU_TYPE_DATA_R,Data-R,0,0,0
61,PDU_TYPE_EVENT_REPORT_R,Event Report-R,0,0,0
62,PDU_TYPE_COMMENT_R,Comment-R,0,0,0
63,PDU_TYPE_RECORD_R,Record-R,0,0,0
64,PDU_TYPE_SET_RECORD_R,Set Record-R,0,0,0
65,PDU_TYPE_RECORD_QUERY_R,Record Query-R,0,0,0
66,PDU_TYPE_COLLISION_ELASTIC,Collision-Elastic,0,0,0
67,PDU_TYPE_ENTITY_STATE_UPDATE,Entity State Update,0,0,0
68,PDU_TYPE_DE_FIRE,Directed Energy Fire,0,1,1
69,PDU_TYPE_ENTITY_DAMAGE_STATUS,Entity Damage Status,0,1,1
70,PDU_TYPE_INFO_OPS_ACTION,Information Operations Action,0,1,1
71,PDU_TYPE_INFO_OPS_REPORT,Information Operations Report,0,1,1
72,PDU_TYPE_ATTRIBUTE,Attribute,0,1,1
200,PDU_TYPE_APPLICATION_CTRL,Application control,0,1,0
