value,name,desc,new
0,EAVP_PHYS_ASSOC_TYPE_NOT_SPECIFIED,Not Specified,1
1,EAVP_PHYS_ASSOC_TYPE_TOWED_IN_AIR,Towed in Air (Single Hook~ Not Specified),1
2,EAVP_PHYS_ASSOC_TYPE_TOWED_ON_LAND,Towed on Land,1
3,EAVP_PHYS_ASSOC_TYPE_TOWED_ON_WATER_SURFACE,Towed on Water Surface,1
4,EAVP_PHYS_ASSOC_TYPE_TOWED_UNDERWATER,Towed Underwater,1
5,EAVP_PHYS_ASSOC_TYPE_MOUNTED_ATTACHED,Mounted Attached,1
6,EAVP_PHYS_ASSOC_TYPE_MOUNTED_UNATTACH_UNSUPP,Mounted Unattached and Unsupported,1
7,EAVP_PHYS_ASSOC_TYPE_MOUNTED_UNATTACH_SUPP,Mounted Unattached and Supported,1
8,EAVP_PHYS_ASSOC_TYPE_TOWED_IN_AIR_CENTER_HOOK,Towed in Air (Center Hook),1
9,EAVP_PHYS_ASSOC_TYPE_TOWED_IN_AIR_FWD_HOOK,Towed in Air (Forward Hook),1
10,EAVP_PHYS_ASSOC_TYPE_TOWED_IN_AIR_AFT_HOOK,Towed in Air (Aft Hook),1
11,EAVP_PHYS_ASSOC_TYPE_TOWED_IN_AIR_TANDEM_HOOK,Towed in Air (Tandem Hook - Fore and Aft),1
12,EAVP_PHYS_ASSOC_TYPE_TOWED_IN_AIR_MISMAN_TANDEM_FORE_CENTER,Towed in Air (Mismanaged Tandem - Fore and Center),1
13,EAVP_PHYS_ASSOC_TYPE_TOWED_IN_AIR_MISMAN_TANDEM_CENTER_AFT,Towed in Air (Mismanaged Tandem - Center and Aft),1
14,EAVP_PHYS_ASSOC_TYPE_TOWED_IN_AIR_ALL_HOOKS,Towed in Air (All Hooks),1
15,EAVP_PHYS_ASSOC_TYPE_HOISTED,Hoisted,1
30,EAVP_PHYS_ASSOC_TYPE_RESTRAINED_TO_A_LIFEFORM,Restrained to a Lifeform,1
31,EAVP_PHYS_ASSOC_TYPE_RESTRAINED_TO_A_PLATFORM,Restrained to a Platform,1
32,EAVP_PHYS_ASSOC_TYPE_RESTRAINED_TO_AN_OBJECT,Restrained to an Object,1
61,EAVP_PHYS_ASSOC_TYPE_REFUELING_OPERATION,Refueling Operation,1
62,EAVP_PHYS_ASSOC_TYPE_SAR_BASKET,Search and Rescue Basket,1
63,EAVP_PHYS_ASSOC_TYPE_SAR_RESCUE_COLLAR,Search and Rescue Rescue Collar,1
64,EAVP_PHYS_ASSOC_TYPE_ENGAGEMENT,Engagement/Object 2 is Being Engaged,1
65,EAVP_PHYS_ASSOC_TYPE_RETURN_TO_BASE,Return To Base/Object 2 is the Destination Object,1
90,EAVP_PHYS_ASSOC_TYPE_LINE_BETWEEN_COMM_TOWERS,Line between Communication Towers,1
91,EAVP_PHYS_ASSOC_TYPE_LINE_BETWEEN_POWER_TOWERS,Line Between Power Towers,1
92,EAVP_PHYS_ASSOC_TYPE_INDOORS,Indoors,1
93,EAVP_PHYS_ASSOC_TYPE_ROOF,Roof,1
