value,name,desc,new
0,EAVP_PHYS_CONN_TYPE_NOT_SPECIFIED,Not Specified,1
1,EAVP_PHYS_CONN_TYPE_ATTACHED_TO_SURFACE,Attached Directly to Surface,1
2,EAVP_PHYS_CONN_TYPE_CABLE_WIRE,Cable Wire,1
3,EAVP_PHYS_CONN_TYPE_ROPE,Rope,1
4,EAVP_PHYS_CONN_TYPE_CHAIN,Chain,1
5,EAVP_PHYS_CONN_TYPE_POWER_LINE,Power Line,1
6,EAVP_PHYS_CONN_TYPE_TELEPHONE_LINE,Telephone Line,1
7,EAVP_PHYS_CONN_TYPE_CABLE_LINE,Cable Line,1
8,EAVP_PHYS_CONN_TYPE_REFUELING_DROGUE,Refueling Drogue,1
9,EAVP_PHYS_CONN_TYPE_REFUELING_BOOM,Refueling Boom,1
10,EAVP_PHYS_CONN_TYPE_HANDCUFFS,Handcuffs,1
11,EAVP_PHYS_CONN_TYPE_IN_CONTACT_WITH,In Contact With,1
