value,name,desc,new
0,PLAT_PAINT_SCHEME_DEFAULT,Default,1
1,PLAT_PAINT_SCHEME_SOLID,Solid Color (primary),1
2,PLAT_PAINT_SCHEME_TWO_TONE_TOP_BOTTOM,Two Tone (Top Primary~ Bottom Secondary),1
3,PLAT_PAINT_SCHEME_TWO_TONE_BODY_BED,Two Tone (Body Primary~ Bed Secondary),1
4,PLAT_PAINT_SCHEME_TWO_TONE_BODY_TRIM,Two Tone (Body Primary~ Trim Secondary),1
5,PLAT_PAINT_SCHEME_CAMO_DESERT,Camouflage~ Desert,1
6,PLAT_PAINT_SCHEME_CAMO_JUNGLE,Camouflage~ Jungle,1
7,PLAT_PAINT_SCHEME_CAMO_SNOW,Camouflage~ Snow,1
8,PLAT_PAINT_SCHEME_CAMO_GRAVEL,Camouflage~ Gravel,1
9,PLAT_PAINT_SCHEME_CAMO_PAVEMENT,Camouflage~ Pavement,1
10,PLAT_PAINT_SCHEME_CAMO_SAND,Camouflage~ Sand,1
11,PLAT_PAINT_SCHEME_CAMO_FOREST,Camouflage~ Forest,1
12,PLAT_PAINT_SCHEME_NATURAL_WOOD,Natural Wood,1
13,PLAT_PAINT_SCHEME_CLEAR,Clear,1
14,PLAT_PAINT_SCHEME_UN,United Nations (UN),1
15,PLAT_PAINT_SCHEME_TAXI,Taxi,1
16,PLAT_PAINT_SCHEME_NEWS,News,1
17,PLAT_PAINT_SCHEME_JINGLE,Jingle,1
