value,name,desc,deleted,new,SISO
0,STATION_OTHER,Other,0,0,0
1,STATION_AIRCRAFT_WINGSTATION,Aircraft Wingstation,0,0,0
2,STATION_SHIPS_FORWARD_GUNMOUNT_STARBOARD,Ships Forward Gunmount (Starboard),0,0,0
3,STATION_SHIPS_FORWARD_GUNMOUNT_PORT,Ships Forward Gunmount (Port),0,0,0
4,STATION_SHIPS_FORWARD_GUNMOUNT_CENTERLINE,Ships Forward Gunmount (Centerline),0,0,0
5,STATION_SHIPS_AFT_GUNMOUNT_STARBOARD,Ships Aft Gunmount (Starboard),0,0,0
6,STATION_SHIPS_AFT_GUNMOUNT_PORT,Ships Aft Gunmount (Port),0,0,0
7,STATION_SHIPS_AFT_GUNMOUNT_CENTERLINE,Ships Aft Gunmount (Centerline),0,0,0
8,STATION_FORWARD_TORPEDO_TUBE,Forward Torpedo Tube,0,0,0
9,STATION_AFT_TORPEDO_TUBE,Aft Torpedo Tube,0,0,0
10,STATION_BOMB_BAY,Bomb Bay,0,0,0
11,STATION_CARGO_BAY,Cargo Bay,0,0,0
12,STATION_TRUCK_BED,Truck Bed,0,0,0
13,STATION_TRAILER_BED,Trailer Bed,0,0,0
14,STATION_WELL_DECK,Well Deck,0,0,0
15,STATION_ON_STATION_RNG_BRG,On Station - (Rng/Brg),0,0,0
16,STATION_ON_STATION_XYZ,On Station - (X~Y~Z),0,0,0
