value,name,desc,deleted,new,SISO
0,TDL_OTHER,Other,0,0,0
1,TDL_PADIL,Padil,0,0,0
2,TDL_NATO_LINK_1,NATO Link-1,0,0,0
3,TDL_ATDL_1,ATDL-1,0,0,0
4,TDL_LINK_11B_TADIL_B,Link 11B (TADIL B),0,0,0
5,TDL_SITUATIONAL_AWARENESS_DATA_LINK_SADL,Situational Awareness Data Link (SADL),0,0,0
6,TDL_LINK_16_LEGACY_FORMAT__JTIDS_TADIL_J,Link 16 Legacy Format  (JTIDS/TADIL-J),0,0,0
7,TDL_LINK_16_LEGACY_FORMAT_JTIDS_FDL_TADIL_J,Link 16 Legacy Format (JTIDS/FDL/TADIL-J),0,0,0
8,TDL_LINK_11A_TADIL_A,Link 11A (TADIL A),0,0,0
9,TDL_IJMS,IJMS,0,0,0
10,TDL_LINK_4A_TADIL_C,Link 4A (TADIL C),0,0,0
11,TDL_LINK_4C,Link 4C,0,0,0
12,TDL_TIBS,TIBS,0,0,0
13,TDL_ATL,ATL,0,0,0
14,TDL_CONSTANT_SOURCE,Constant Source,0,0,0
15,TDL_ABBREVIATED_COMMAND_AND_CONTROL,Abbreviated Command and Control,0,0,0
16,TDL_MILSTAR,MILSTAR,0,0,0
17,TDL_ATHS,ATHS,0,0,0
18,TDL_OTHGOLD,OTHGOLD,0,0,0
19,TDL_TACELINT,TACELINT,0,0,0
20,TDL_WEAPONS_DATA_LINK_AWW_13,Weapons Data Link (AWW-13),0,0,0
21,TDL_ABBR_COMMAND_AND_CONTROL,Abbreviated Command and Control,0,0,0
22,TDL_ENHANCED_POSITION_LOCATION_REPORTING_SYS_EPLRS,Enhanced Position Location Reporting System (EPLRS),0,0,0
23,TDL_POSITION_LOCATION_REPORTING_SYS_PLRS,Position Location Reporting System (PLRS),0,0,0
24,TDL_SINCGARS,SINCGARS,0,0,0
25,TDL_HAVE_QUICK_I,Have Quick I,0,0,0
26,TDL_HAVE_QUICK_II,Have Quick II,0,0,0
27,TDL_HAVE_QUICK_IIA_SATURN,Have Quick IIa (SATURN),0,0,0
28,TDL_INTRA_FLIGHT_DATA_LINK_1,Intra-Flight Data Link 1,0,0,0
29,TDL_INTRA_FLIGHT_DATA_LINK_2,Intra-Flight Data Link 2,0,0,0
30,TDL_IMPROVED_DATA_MODEM_IDM,Improved Data Modem (IDM),0,0,0
31,TDL_AIR_FORCE_APPLICATION_PROGRAM_DEVELOPMENT_AFAPD,Air Force Application Program Development (AFAPD),0,0,0
32,TDL_COOPERATIVE_ENGAGEMENT_CAPABILITY_CEC,Cooperative Engagement Capability (CEC),0,0,0
33,TDL_FORWARD_AREA_AIR_DEFENSE_FAAD_DATA_LINK_FDL,Forward Area Air Defense (FAAD) Data Link (FDL),0,0,0
34,TDL_GROUND_BASED_DATA_LINK_GBDL,Ground Based Data Link (GBDL),0,0,0
35,TDL_INTRA_VEHICULAR_INFO_SYS_IVIS,Intra Vehicular Info System (IVIS),0,0,0
36,TDL_MARINE_TACTICAL_SYS_MTS,Marine Tactical System (MTS),0,0,0
37,TDL_TACTICAL_FIRE_DIRECTION_SYS_TACFIRE,Tactical Fire Direction System (TACFIRE),0,0,0
38,TDL_INTEGRATED_BROADCAST_SERVICE_IBS,Integrated Broadcast Service (IBS),0,0,0
39,TDL_AIRBORNE_INFORMATION_TRANSFER_ABIT,Airborne Information Transfer (ABIT),0,0,0
40,TDL_ADVANCED_TACTICAL_AIRBORNE_RECON_SYS_ATARS_DATA_LINK,Advanced Tactical Airborne Reconnaissance System (ATARS) Data Link,0,0,0
41,TDL_BATTLE_GROUP_PASSIVE_HORIZON_EXTENSION_SYS_BGPHES_DATA_LINK,Battle Group Passive Horizon Extension System (BGPHES) Data Link,0,0,0
42,TDL_COMMON_HIGH_BANDWIDTH_DATA_LINK_CHBDL,Common High Bandwidth Data Link (CHBDL),0,0,0
43,TDL_GUARDRAIL_INTEROPERABLE_DATA_LINK_IDL,Guardrail Interoperable Data Link (IDL),0,0,0
44,TDL_GUARDRAIL_COMMON_SENSOR_SYS_ONE_CSS1_DATA_LINK,Guardrail Common Sensor System One (CSS1) Data Link,0,0,0
45,TDL_GUARDRAIL_COMMON_SENSOR_SYS_TWO_CSS2_DATA_LINK,Guardrail Common Sensor System Two (CSS2) Data Link,0,0,0
46,TDL_GUARDRAIL_CSS2_MULTI_ROLE_DATA_LINK_MRDL,Guardrail CSS2 Multi-Role Data Link (MRDL),0,0,0
47,TDL_GUARDRAIL_CSS2_DIRECT_AIR_TO_SATELLITE_RELAY_DASR_DATA_LINK,Guardrail CSS2 Direct Air To Satellite Relay (DASR) Data Link,0,0,0
48,TDL_LINE_OF_SIGHT_LOS_DATA_LINK_IMP_LOS_TETHER,Line of Sight (LOS) Data Link Implementation (LOS TETHER),0,0,0
49,TDL_LIGHTWEIGHT_CDL_LWCDL,Lightweight CDL (LWCDL),0,0,0
50,TDL_L_52M_SR_71,L-52M (SR-71),0,0,0
51,TDL_RIVET_REACH_RIVET_OWL_DATA_LINK,Rivet Reach/Rivet Owl Data Link,0,0,0
52,TDL_SENIOR_SPAN,Senior Span,0,0,0
53,TDL_SENIOR_SPUR,Senior Spur,0,0,0
54,TDL_SENIOR_STRETCH,Senior Stretch,0,0,0
55,TDL_SENIOR_YEAR_INTEROPERABLE_DATA_LINK_IDL,Senior Year Interoperable Data Link (IDL),0,0,0
56,TDL_SPACE_CDL,Space CDL,0,0,0
57,TDL_TR_1_MODE_MIST_AIRBORNE_DATA_LINK,TR-1 Mode Mist Airborne Data Link,0,0,0
58,TDL_KU_BAND_SATCOM_DATA_LINK_IMP_UAV,Ku-Band Satcom Data Link Implementation (UAV),0,0,0
59,TDL_MISSION_EQUIPMENT_CONTROL_DATA_LINK_MECDL,Mission Equipment Control Data Link (MECDL),0,0,0
60,TDL_RADAR_DATA_TRANSMITTING_SET_DATA_LINK,Radar Data Transmitting Set Data Link,0,0,0
61,TDL_SURVEILLANCE_AND_CONTROL_DATA_LINK_SCDL,Surveillance And Control Data Link (SCDL),0,0,0
62,TDL_TACTICAL_UAV_VIDEO,Tactical UAV Video,0,0,0
63,TDL_UHF_SATCOM_DATA_LINK_IMP_UAV,UHF Satcom Data Link Implementation (UAV),0,0,0
64,TDL_TACTICAL_COMMON_DATA_LINK_TCDL,Tactical Common Data Link (TCDL),0,0,0
65,TDL_LOW_LEVEL_AIR_PICTURE_INTERFACE_LLAPI,Low Level Air Picture Interface (LLAPI),0,0,0
66,TDL_WEAPONS_DATA_LINK_AGM_130,Weapons Data Link (AGM-130),0,0,0
99,TDL_GC3,GC3,0,0,0
100,TDL_LINK_16_STANDARDIZED_FORMAT_JTIDS_MIDS_TADIL_J,Link 16 Standardized Format (JTIDS/MIDS/TADIL J),0,0,0
101,TDL_LINK_16_ENHANCED_DATA_RATE_EDR_JTIDS_MIDS_TADIL_J,Link 16 Enhanced Data Rate (EDR JTIDS/MIDS/TADIL-J),0,0,0
102,TDL_JTIDS_MIDS_NET_DATA_LOAD_TIMS_TOMS,JTIDS/MIDS Net Data Load (TIMS/TOMS),0,0,0
103,TDL_LINK_22,Link 22,0,0,0
104,TDL_AFIWC_IADS_COMM_LINKS,AFIWC IADS Communications Links,0,0,0
105,TDL_INTER_FLIGHT_DATA_LINK,Inter Flight Data Link (IFDL),0,1,1
106,TDL_L_BAND_SATCOM,L-Band SATCOM,0,1,1
107,TDL_TSAF_COMM_LINK,TSAF Communications Link,0,1,1
108,TDL_ENHANCED_SINCGARS_7_3,Enhanced SINCGARS 7.3,0,1,1
109,TDL_MULTIFUNCTION_ADV_DATA_LINK,Multifunction Advanced Data Link (MADL),0,1,1
110,TDL_CURSOR_ON_TARGET,Cursor on Target,0,1,1
