value,name,desc,deleted,new,SISO
0,WARHEAD_BURST_DESC_OTHER,Other,0,0,0
10,WARHEAD_BURST_DESC_CARGO,Cargo (Variable Submunitions),0,0,0
20,WARHEAD_BURST_DESC_FUEL_AIR_EXPLOSIVE,Fuel/Air Explosive,0,0,0
30,WARHEAD_BURST_DESC_GLASS_BEADS,Glass Beads,0,0,0
31,WARHEAD_BURST_DESC_1_UM,1 um,0,0,0
32,WARHEAD_BURST_DESC_5_UM,5 um,0,0,0
33,WARHEAD_BURST_DESC_10_UM,10 um,0,0,0
1000,WARHEAD_BURST_DESC_HIGH_EXPLOSIVE,High Explosive (HE),0,0,0
1100,WARHEAD_BURST_DESC_HE_PLASTIC,HE~ Plastic,0,0,0
1200,WARHEAD_BURST_DESC_HE_INCENDIARY,HE~ Incendiary,0,0,0
1300,WARHEAD_BURST_DESC_HE_FRAGMENTATION,HE~ Fragmentation,0,0,0
1400,WARHEAD_BURST_DESC_HE_ANTITANK,HE~ Antitank,0,0,0
1500,WARHEAD_BURST_DESC_HE_BOMBLETS,HE~ Bomblets,0,0,0
1600,WARHEAD_BURST_DESC_HE_SHAPED_CHARGE,HE~ Shaped Charge,0,0,0
1610,WARHEAD_BURST_DESC_HE_CONTINUOUS_ROD,HE~ Continuous Rod,0,0,0
1615,WARHEAD_BURST_DESC_HE_TUNGSTEN_BALL,HE~ Tungsten Ball,0,0,0
1620,WARHEAD_BURST_DESC_HE_BLAST_FRAGMENTATION,HE~ Blast Fragmentation,0,0,0
1625,WARHEAD_BURST_DESC_HE_STEERABLE_DARTS_WITH_HE,HE~ Steerable Darts with HE,0,0,0
1630,WARHEAD_BURST_DESC_HE_DARTS,HE~ Darts,0,0,0
1635,WARHEAD_BURST_DESC_HE_FLECHETTES,HE~ Flechettes,0,0,0
1640,WARHEAD_BURST_DESC_HE_DIRECTED_FRAG,HE~ Directed Fragmentation,0,0,0
1645,WARHEAD_BURST_DESC_HE_SEMI_ARMOR_PIERCING,HE~ Semi-Armor Piercing (SAP),0,0,0
1650,WARHEAD_BURST_DESC_HE_SHAPED_CHARGE_FRAG,HE~ Shaped Charge Fragmentation,0,0,0
1655,WARHEAD_BURST_DESC_HE_SEMI_ARMOR_PIERCING_FRAG,HE~ Semi-Armor Piercing~ Fragmentation,0,0,0
1660,WARHEAD_BURST_DESC_HE_HOLLOW_CHARGE,HE~ Hollow Charge,0,0,0
1665,WARHEAD_BURST_DESC_HE_DOUBLE_HOLLOW_CHARGE,HE~ Double Hollow Charge,0,0,0
1670,WARHEAD_BURST_DESC_HE_GENERAL_PURPOSE,HE~ General Purpose,0,0,0
1675,WARHEAD_BURST_DESC_HE_BLAST_PENETRATOR,HE~ Blast Penetrator,0,0,0
1680,WARHEAD_BURST_DESC_HE_ROD_PENETRATOR,HE~ Rod Penetrator,0,0,0
1685,WARHEAD_BURST_DESC_HE_ANTIPERSONNEL,HE~ Antipersonnel,0,0,0
2000,WARHEAD_BURST_DESC_SMOKE,Smoke,0,0,0
3000,WARHEAD_BURST_DESC_ILLUMINATION,Illumination,0,0,0
4000,WARHEAD_BURST_DESC_PRACTICE,Practice,0,0,0
5000,WARHEAD_BURST_DESC_KINETIC,Kinetic,0,0,0
6000,WARHEAD_BURST_DESC_MINES,Mines,0,0,0
7000,WARHEAD_BURST_DESC_NUCLEAR,Nuclear,0,0,0
7010,WARHEAD_BURST_DESC_NUCLEAR_IMT,Nuclear~ IMT,0,0,0
8000,WARHEAD_BURST_DESC_CHEMICAL_GENERAL,Chemical~ General,0,0,0
8100,WARHEAD_BURST_DESC_CHEMICAL_BLISTER_AGENT,Chemical~ Blister Agent,0,0,0
8110,WARHEAD_BURST_DESC_HD_MUSTARD,HD (Mustard),0,0,0
8115,WARHEAD_BURST_DESC_THICKENED_HD_MUSTARD,Thickened HD (Mustard),0,0,0
8120,WARHEAD_BURST_DESC_DUSTY_HD_MUSTARD,Dusty HD (Mustard),0,0,0
8200,WARHEAD_BURST_DESC_CHEMICAL_BLOOD_AGENT,Chemical~ Blood Agent,0,0,0
8210,WARHEAD_BURST_DESC_AC_HCN,AC (HCN),0,0,0
8215,WARHEAD_BURST_DESC_CK_CNCI,CK (CNCI),0,0,0
8220,WARHEAD_BURST_DESC_CG_PHOSGENE,CG (Phosgene),0,0,0
8300,WARHEAD_BURST_DESC_CHEMICAL_NERVE_AGENT,Chemical~ Nerve Agent,0,0,0
8310,WARHEAD_BURST_DESC_VX,VX,0,0,0
8315,WARHEAD_BURST_DESC_THICKENED_VX,Thickened VX,0,0,0
8320,WARHEAD_BURST_DESC_DUSTY_VX,Dusty VX,0,0,0
8325,WARHEAD_BURST_DESC_GA_TABUN,GA (Tabun),0,0,0
8330,WARHEAD_BURST_DESC_THICKENED_GA_TABUN,Thickened GA (Tabun),0,0,0
8335,WARHEAD_BURST_DESC_DUSTY_GA_TABUN,Dusty GA (Tabun),0,0,0
8340,WARHEAD_BURST_DESC_GB_SARIN,GB (Sarin),0,0,0
8345,WARHEAD_BURST_DESC_THICKENED_GB_SARIN,Thickened GB (Sarin),0,0,0
8350,WARHEAD_BURST_DESC_DUSTY_GB_SARIN,Dusty GB (Sarin),0,0,0
8355,WARHEAD_BURST_DESC_GD_SOMAN,GD (Soman),0,0,0
8360,WARHEAD_BURST_DESC_THICKENED_GD_SOMAN,Thickened GD (Soman),0,0,0
8365,WARHEAD_BURST_DESC_DUSTY_GD_SOMAN,Dusty GD (Soman),0,0,0
8370,WARHEAD_BURST_DESC_GF,GF,0,0,0
8375,WARHEAD_BURST_DESC_THICKENED_GF,Thickened GF,0,0,0
8380,WARHEAD_BURST_DESC_DUSTY_GF,Dusty GF,0,0,0
9000,WARHEAD_BURST_DESC_BIOLOGICAL,Biological,0,0,0
9100,WARHEAD_BURST_DESC_BIOLOGICAL_VIRUS,Biological~ Virus,0,0,0
9200,WARHEAD_BURST_DESC_BIOLOGICAL_BACTERIA,Biological~ Bacteria,0,0,0
9300,WARHEAD_BURST_DESC_BIOLOGICAL_RICKETTSIA,Biological~ Rickettsia,0,0,0
9400,WARHEAD_BURST_DESC_BIOGEN_MOD_MICRO_ORGANISMS,Biological~ Genetically Modified Micro-organisms,0,0,0
9500,WARHEAD_BURST_DESC_BIOLOGICAL_TOXIN,Biological~ Toxin,0,0,0
