value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_9_BN1_504PIR_82AB,BN1/504PIR/82AB,32,0,1-504PIR,9,1,1
2,EM_USARMY_BN_9_BN2_504PIR_82AB,BN2/504PIR/82AB,32,0,2-504PIR,9,1,1
3,EM_USARMY_BN_9_BN3_504PIR_82AB,BN3/504PIR/82AB,32,0,3-504PIR,9,1,1
4,EM_USARMY_BN_9_BN1_325AIR_82AB,BN1/325AIR/82AB,32,0,1-325AIR,9,2,1
5,EM_USARMY_BN_9_BN2_325AIR_82AB,BN2/325AIR/82AB,32,0,2-325AIR,9,2,1
6,EM_USARMY_BN_9_BN3_325AIR_82AB,BN3/325AIR/82AB,32,0,3-325AIR,9,2,1
7,EM_USARMY_BN_9_BN1_505PIR_82AB,BN1/505PIR/82AB,32,0,1-505PIR,9,3,1
8,EM_USARMY_BN_9_BN2_505PIR_82AB,BN2/505PIR/82AB,32,0,2-505PIR,9,3,1
9,EM_USARMY_BN_9_BN3_505PIR_82AB,BN3/505PIR/82AB,32,0,3-505PIR,9,3,1
10,EM_USARMY_BN_9_BN1_82AV_82AB,BN1/82AV/82AB,32,0,1-82AVN,9,5,1
11,EM_USARMY_BN_9_BN2_82AV_82AB,BN2/82AV/82AB,32,0,2-82AVN,9,5,1
12,EM_USARMY_BN_9_1B319FA_DA_82AB,1B319FA/DA/82AB,32,0,1-319FA,9,7,1
13,EM_USARMY_BN_9_2B319FA_DA_82AB,2B319FA/DA/82AB,32,0,2-319FA,9,7,1
14,EM_USARMY_BN_9_3B319FA_DA_82AB,3B319FA/DA/82AB,32,0,3-319FA,9,7,1
15,EM_USARMY_BN_9_1SQ17CAV_82AB,1SQ17CAV/82AB,32,0,1-17CAV,9,8,1
16,EM_USARMY_BN_9_313MI_82AB,313MI/82AB,32,0,313MI,9,8,1
17,EM_USARMY_BN_9_ADABN_82AB,ADABN/82AB,32,0,3-4ADA,9,8,1
18,EM_USARMY_BN_9_82SIG_82A,82SIG/82A,32,0,82SIG,9,8,1
19,EM_USARMY_BN_9_ENGBN_82A,ENGBN/82A,32,0,307EN,9,8,1
20,EM_USARMY_BN_9_SB_504PIR_82A,SB/504PIR/82A,32,0,307SB,9,8,1
