value,name,desc,cv,bumper,new
65,EM_USARMY_CO_A_COMPANY,A Company,1,A,0
66,EM_USARMY_CO_B_COMPANY,B Company,2,B,0
67,EM_USARMY_CO_C_COMPANY,C Company,3,C,0
68,EM_USARMY_CO_D_COMPANY,D Company,4,D,0
69,EM_USARMY_CO_E_COMPANY,E Company,5,E,0
70,EM_USARMY_CO_F_COMPANY,F Company,32,F,0
71,EM_USARMY_CO_G_COMPANY,G Company,32,G,0
72,EM_USARMY_CO_H_COMPANY,H Company,32,H,0
73,EM_USARMY_CO_I_COMPANY,I Company,32,I,0
74,EM_USARMY_CO_J_COMPANY,J Company,32,J,0
75,EM_USARMY_CO_K_COMPANY,K Company,32,K,0
76,EM_USARMY_CO_L_COMPANY,L Company,32,L,0
77,EM_USARMY_CO_M_COMPANY,M Company,32,M,0
97,EM_USARMY_CO_HOW_BATTERY,How Battery,0,HOW,1
98,EM_USARMY_CO_HHB,HHB,0,HHB,0
99,EM_USARMY_CO_HHC,HHC,0,HHC,0
100,EM_USARMY_CO_HHD,HHD,0,HHD,0
113,EM_USARMY_CO_HQ_COMPANY,HQ Company,0,HQ,0
116,EM_USARMY_CO_HHT,HHT,0,HHT,0
