name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
OTHER_CULT_LAND_BRD,5,1,0,1,0,0,0,Cultural Feature Bridge,0,0,0,0
OTHER_CULT_LAND_BRD_CONCRETE_TWO_LANE,5,1,0,1,1,0,0,Bridge~ Concrete two-lane,0,0,0,OTHER_CULT_LAND_BRD
OTHER_CULT_LAND_BRD_CONCRETE_FOUR_LANE,5,1,0,1,2,0,0,Bridge~ Concrete four-lane,0,0,0,OTHER_CULT_LAND_BRD_CONCRETE_TWO_LANE
OTHER_CULT_LAND_BRD_TRUSS_TWO_LANE,5,1,0,1,3,0,0,Bridge~ Truss two-lane,0,0,0,OTHER_CULT_LAND_BRD
OTHER_CULT_LAND_BRD_TRUSS_FOUR_LANE,5,1,0,1,4,0,0,Bridge~ Truss four-lane,0,0,0,OTHER_CULT_LAND_BRD_TRUSS_TWO_LANE
OTHER_CULT_LAND_BRD_SUSPENSION_TWO_LANE,5,1,0,1,5,0,0,Bridge~ Suspension two-lane,0,0,0,OTHER_CULT_LAND_BRD
OTHER_CULT_LAND_BRD_SUSPENSION_FOUR_LANE,5,1,0,1,6,0,0,Bridge~ Suspension four-lane,0,0,0,OTHER_CULT_LAND_BRD_SUSPENSION_TWO_LANE
OTHER_CULT_LAND_BLDG,5,1,0,2,0,0,0,Cultural Feature Building,0,0,0,0
OTHER_CULT_LAND_BLDG_ONE_STORY,5,1,0,2,1,0,0,Building One-Story,0,0,0,OTHER_CULT_LAND_BLDG
OTHER_CULT_LAND_BLDG_ONE_STORY_TRAPEZOIDAL_AIRCRAFT_SHELTER_TRIHANGAR,5,1,0,2,1,1,0,Trapezoidal Aircraft Shelter (Trihangar),0,0,0,OTHER_CULT_LAND_BLDG_ONE_STORY
OTHER_CULT_LAND_BLDG_ONE_STORY_CURVILINEAR_AIRCRAFT_SHELTER,5,1,0,2,1,2,0,Curvilinear Aircraft Shelter,0,0,0,OTHER_CULT_LAND_BLDG_ONE_STORY
OTHER_CULT_LAND_BLDG_ONE_STORY_BERMED_STORAGE_BUNKER,5,1,0,2,1,3,0,Bermed Storage Bunker,0,0,0,OTHER_CULT_LAND_BLDG_ONE_STORY
OTHER_CULT_LAND_BLDG_ONE_STORY_HARDENED_CURVILINEAR_MUNITIONS_BUNKER,5,1,0,2,1,4,0,Hardened Curvilinear Munitions Bunker,0,0,0,OTHER_CULT_LAND_BLDG_ONE_STORY
OTHER_CULT_LAND_BLDG_TWO_STORY,5,1,0,2,2,0,0,Building Two-story,0,0,0,OTHER_CULT_LAND_BLDG_ONE_STORY
OTHER_CULT_LAND_BLDG_THREE_STORY,5,1,0,2,3,0,0,Building Three-story,0,0,0,OTHER_CULT_LAND_BLDG_TWO_STORY
OTHER_CULT_LAND_BLDG_FOUR_STORY,5,1,0,2,4,0,0,Building Four-story,0,0,0,OTHER_CULT_LAND_BLDG_THREE_STORY
OTHER_CULT_LAND_BLDG_FIVE_STORY,5,1,0,2,5,0,0,Building Five story,0,0,0,OTHER_CULT_LAND_BLDG_FOUR_STORY
OTHER_CULT_LAND_BLDG_SIX_STORY,5,1,0,2,6,0,0,Building Six story,0,0,0,OTHER_CULT_LAND_BLDG_FIVE_STORY
