name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
ENV_LAND_RADAR_COLLECTED_NOISE,4,1,0,1,0,0,0,Radar Collected Noise,0,0,0,0
ENV_LAND_RADAR_COLLECTED_NOISE_VERY_SMALL,4,1,0,1,20,0,0,Radar Collected Noise~ Very Small,0,0,0,ENV_LAND_RADAR_COLLECTED_NOISE
ENV_LAND_RADAR_COLLECTED_NOISE_SMALL,4,1,0,1,40,0,0,Radar Collected Noise~ Small,0,0,0,ENV_LAND_RADAR_COLLECTED_NOISE
ENV_LAND_RADAR_COLLECTED_NOISE_MED,4,1,0,1,60,0,0,Radar Collected Noise~ Medium,0,0,0,ENV_LAND_RADAR_COLLECTED_NOISE
ENV_LAND_RADAR_COLLECTED_NOISE_LARGE,4,1,0,1,80,0,0,Radar Collected Noise~ Large,0,0,0,ENV_LAND_RADAR_COLLECTED_NOISE
ENV_LAND_RADAR_COLLECTED_NOISE_VERY_LARGE,4,1,0,1,100,0,0,Radar Collected Noise~ Very Large,0,0,0,ENV_LAND_RADAR_COLLECTED_NOISE
ENV_LAND_POWDER_SPILL,4,1,0,2,0,0,0,Powder Spill,0,1,1,0
ENV_LAND_POWDER_SPILL_VERY_SMALL,4,1,0,2,20,0,0,Powder Spill~ Very Small,0,1,1,ENV_LAND_POWDER_SPILL
ENV_LAND_POWDER_SPILL_SMALL,4,1,0,2,40,0,0,Powder Spill~ Small,0,1,1,ENV_LAND_POWDER_SPILL
ENV_LAND_POWDER_SPILL_MED,4,1,0,2,60,0,0,Powder Spill~ Medium,0,1,1,ENV_LAND_POWDER_SPILL
ENV_LAND_POWDER_SPILL_LARGE,4,1,0,2,80,0,0,Powder Spill~ Large,0,1,1,ENV_LAND_POWDER_SPILL
ENV_LAND_POWDER_SPILL_VERY_LARGE,4,1,0,2,100,0,0,Powder Spill~ Very Large,0,1,1,ENV_LAND_POWDER_SPILL
ENV_LAND_POWDER_SPILL_RESIDUE,4,1,0,2,0,1,0,Powder Spill~ Residue,0,1,1,ENV_LAND_POWDER_SPILL
ENV_LAND_POWDER_SPILL_RESIDUE_VERY_SMALL,4,1,0,2,20,1,0,Powder Spill~ Residue~ Very Small,0,1,1,ENV_LAND_POWDER_SPILL_RESIDUE
ENV_LAND_POWDER_SPILL_RESIDUE_SMALL,4,1,0,2,40,1,0,Powder Spill~ Residue~ Small,0,1,1,ENV_LAND_POWDER_SPILL_RESIDUE
ENV_LAND_POWDER_SPILL_RESIDUE_MED,4,1,0,2,60,1,0,Powder Spill~ Residue~ Medium,0,1,1,ENV_LAND_POWDER_SPILL_RESIDUE
ENV_LAND_POWDER_SPILL_RESIDUE_LARGE,4,1,0,2,80,1,0,Powder Spill~ Residue~ Large,0,1,1,ENV_LAND_POWDER_SPILL_RESIDUE
ENV_LAND_POWDER_SPILL_RESIDUE_VERY_LARGE,4,1,0,2,100,1,0,Powder Spill~ Residue~ Very Large,0,1,1,ENV_LAND_POWDER_SPILL_RESIDUE
ENV_LAND_LIQUID_SPILL,4,1,0,3,0,0,0,Liquid Spill,0,1,1,0
ENV_LAND_LIQUID_SPILL_VERY_SMALL,4,1,0,3,20,0,0,Liquid Spill~ Very Small,0,1,1,ENV_LAND_LIQUID_SPILL
