name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
CIS_EXP_AIR_CHAFF,8,2,222,1,0,0,0,Expendables Chaff,0,0,0,0
CIS_EXP_AIR_CHAFF_BUNDLE_OTHER,8,2,222,1,1,0,0,Chaff Bundle,0,0,0,CIS_EXP_AIR_CHAFF
CIS_EXP_AIR_CHAFF_BUNDLE_TACCSF_NOTIONAL_HOSTILE_CHAFF,8,2,222,1,1,0,1,TACCSF notional hostile chaff,0,0,0,CIS_EXP_AIR_CHAFF
CIS_EXP_AIR_CHAFF_BUNDLE_VERY_SMALL,8,2,222,1,1,1,0,Chaff Bundle~ Very small,0,0,0,CIS_EXP_AIR_CHAFF
CIS_EXP_AIR_CHAFF_BUNDLE_SMALL,8,2,222,1,1,2,0,Chaff Bundle~ Small,0,0,0,CIS_EXP_AIR_CHAFF
CIS_EXP_AIR_CHAFF_BUNDLE_MED,8,2,222,1,1,3,0,Chaff Bundle~ Medium,0,0,0,CIS_EXP_AIR_CHAFF
CIS_EXP_AIR_CHAFF_BUNDLE_LARGE,8,2,222,1,1,4,0,Chaff Bundle~ Large,0,0,0,CIS_EXP_AIR_CHAFF
CIS_EXP_AIR_CHAFF_BUNDLE_VERY_LARGE,8,2,222,1,1,5,0,Chaff Bundle~ Very Large,0,0,0,CIS_EXP_AIR_CHAFF
CIS_EXP_AIR_CHAFF_BUNDLE_26MM_CHAFF_CARTRIDGE,8,2,222,1,1,6,0,Chaff Bundle~ 26mm chaff cartridge,0,0,0,CIS_EXP_AIR_CHAFF
CIS_EXP_AIR_CHAFF_BUNDLE_50MM_CHAFF_CARTRIDGE,8,2,222,1,1,7,0,Chaff Bundle~ 50mm chaff cartridge,0,0,0,CIS_EXP_AIR_CHAFF
CIS_EXP_AIR_FLARE,8,2,222,2,0,0,0,Expendables Flare,0,0,0,0
CIS_EXP_AIR_FLARE_OTHER_TACCSF_NOTINOAL_HOSTILE_CHAFF,8,2,222,2,0,1,0,TACCSF notional hostile flare,0,0,0,CIS_EXP_AIR_FLARE
CIS_EXP_AIR_FLARE_26MM_FLARE,8,2,222,2,1,0,0,Flare 26mm,0,0,0,CIS_EXP_AIR_FLARE
CIS_EXP_AIR_FLARE_50MM_FLARE,8,2,222,2,2,0,0,Flare 50mm,0,0,0,CIS_EXP_AIR_FLARE
US_EXP_AIR_CHAFF,8,2,225,1,0,0,0,Expendables Chaff,0,0,0,0
US_EXP_AIR_CHAFF_BUNDLE,8,2,225,1,1,0,0,Chaff Bundle,0,0,0,US_EXP_AIR_CHAFF
US_EXP_AIR_CHAFF_TACCSF_NOTIONAL_FRIENDLY_CHAFF,8,2,225,1,1,0,1,TACCSF notional friendly chaff,0,0,0,US_EXP_AIR_CHAFF
US_EXP_AIR_CHAFF_BUNDLE_VERY_SMALL,8,2,225,1,1,1,0,Chaff Bundle~ Very Small,0,0,0,US_EXP_AIR_CHAFF_BUNDLE
US_EXP_AIR_CHAFF_BUNDLE_SMALL,8,2,225,1,1,2,0,Chaff Bundle~ Small,0,0,0,US_EXP_AIR_CHAFF_BUNDLE
US_EXP_AIR_CHAFF_BUNDLE_MED,8,2,225,1,1,3,0,Chaff Bundle~ Medium,0,0,0,US_EXP_AIR_CHAFF_BUNDLE
US_EXP_AIR_CHAFF_BUNDLE_LARGE,8,2,225,1,1,4,0,Chaff Bundle~ Large,0,0,0,US_EXP_AIR_CHAFF_BUNDLE
US_EXP_AIR_CHAFF_BUNDLE_VERY_LARGE,8,2,225,1,1,5,0,Chaff Bundle~ Very Large,0,0,0,US_EXP_AIR_CHAFF_BUNDLE
US_EXP_AIR_CHAFF_BUNDLE_RR_170_CHAFF,8,2,225,1,1,6,0,Chaff Bundle~ RR-170 Chaff,0,0,0,US_EXP_AIR_CHAFF_BUNDLE
US_EXP_AIR_CHAFF_BUNDLE_RR_180_CHAFF,8,2,225,1,1,7,0,Chaff Bundle~ RR-180 Chaff,0,0,0,US_EXP_AIR_CHAFF_BUNDLE
US_EXP_AIR_CHAFF_BUNDLE_RR_188_CHAFF,8,2,225,1,1,8,0,Chaff Bundle~ RR-188 Chaff,0,0,0,US_EXP_AIR_CHAFF_BUNDLE
US_EXP_AIR_CHAFF_BUNDLE_RR_129_CHAFF,8,2,225,1,1,9,0,Chaff Bundle~ RR-129 Chaff,0,0,0,US_EXP_AIR_CHAFF_BUNDLE
US_EXP_AIR_CHAFF_BUNDLE_RR_144_CHAFF,8,2,225,1,1,10,0,Chaff Bundle~ RR-144 Chaff,0,0,0,US_EXP_AIR_CHAFF_BUNDLE
