name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
US_MUN_GUID,2,0,225,1,0,0,0,U.S.  Munitions Guided,0,0,0,0
US_MUN_GUID_DEADEYE_5_IN_PROJ,2,0,225,1,1,0,0,U.S.  Munitions Guided Deadeye 5-in. projectile,0,0,0,US_MUN_GUID
US_MUN_FIX,2,0,225,3,0,0,0,U.S.  Munitions Fixed,0,0,0,0
US_MUN_FIX_MCT_BANGALORE,2,0,225,3,1,0,0,Mine-clearing torpedo Bangalore,0,0,0,US_MUN_FIX
US_MUN_FIX_MCT_BANGALORE_M1A1,2,0,225,3,1,1,0,M1A1,0,0,0,US_MUN_FIX_MCT_BANGALORE
US_MUN_FIX_MCT_BANGALORE_M1A2,2,0,225,3,1,2,0,M1A2,0,0,0,US_MUN_FIX_MCT_BANGALORE
CH_MUN_AAIR_GUID,2,1,45,1,0,0,0,China Anti-Air Munitions Guided,0,0,0,0
CH_MUN_AAIR_GUID_HQ_2_CSA_1,2,1,45,1,1,0,0,HQ-2 (CSA-1),0,0,0,CH_MUN_AAIR_GUID
CH_MUN_AAIR_GUID_HQ_2,2,1,45,1,1,1,0,HQ-2,0,0,0,CH_MUN_AAIR_GUID_HQ_2_CSA_1
CH_MUN_AAIR_GUID_HQ_2J,2,1,45,1,1,2,0,HQ-2J,0,0,0,CH_MUN_AAIR_GUID_HQ_2_CSA_1
CH_MUN_AAIR_GUID_HQ_2B,2,1,45,1,1,3,0,HQ-2B,0,0,0,CH_MUN_AAIR_GUID_HQ_2_CSA_1
CH_MUN_AAIR_GUID_DELETED,2,1,45,1,2,0,0,(deleted),1,0,0,CH_MUN_AAIR_GUID
CH_MUN_AAIR_GUID_HQ_61_SAM,2,1,45,1,3,0,0,HQ-61 SAM,0,0,0,CH_MUN_AAIR_GUID
CH_MUN_AAIR_GUID_HN_5_SA_7_TYPE,2,1,45,1,4,0,0,HN-5 (SA-7 type),0,0,0,CH_MUN_AAIR_GUID
CH_MUN_AAIR_GUID_HN_5_SA_7_TYPE_HN_5,2,1,45,1,4,1,0,HN-5 (SA-7 type) HN-5,0,0,0,CH_MUN_AAIR_GUID_HN_5_SA_7_TYPE
CH_MUN_AAIR_GUID_HN_5_SA_7_TYPE_HN_5A,2,1,45,1,4,2,0,HN-5 (SA-7 type) HN-5A,0,0,0,CH_MUN_AAIR_GUID_HN_5_SA_7_TYPE
CH_MUN_AAIR_GUID_DELETED,2,1,45,1,5,0,0,(deleted),1,0,0,CH_MUN_AAIR_GUID
CH_MUN_AAIR_GUID_DELETED,2,1,45,1,6,0,0,(deleted),1,0,0,CH_MUN_AAIR_GUID
