name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
OTHER_PLAT_LAND_CIV_MOTORCYCLE,1,1,0,80,0,0,0,Motorcycle,0,1,1,0
OTHER_PLAT_LAND_CIV_MOTORCYCLE_STREET,1,1,0,80,1,0,0,Motorcycle Street,0,1,1,OTHER_PLAT_LAND_CIV_MOTORCYCLE
OTHER_PLAT_LAND_CIV_MOTORCYCLE_TRAIL,1,1,0,80,2,0,0,Motorcycle Trail,0,1,1,OTHER_PLAT_LAND_CIV_MOTORCYCLE
OTHER_PLAT_LAND_CIV_SCOOTER,1,1,0,80,3,0,0,Motor Scooter,0,1,1,OTHER_PLAT_LAND_CIV_MOTORCYCLE
OTHER_PLAT_LAND_CIV_CAR_SEDAN,1,1,0,81,0,0,0,Car Sedan,0,1,1,0
OTHER_PLAT_LAND_CIV_CAR_SEDAN_ALT_ELECTRIC_CAR,1,1,0,81,1,0,0,Car Sedan - Alternative Electric Car,0,1,1,OTHER_PLAT_LAND_CIV_CAR_SEDAN
OTHER_PLAT_LAND_CIV_CAR_SEDAN_ALT_HYBRID,1,1,0,81,2,0,0,Car Sedan - Alternative Hybrid,0,1,1,OTHER_PLAT_LAND_CIV_CAR_SEDAN
OTHER_PLAT_LAND_CIV_CAR_SEDAN_ALT_NATURAL_GAS,1,1,0,81,3,0,0,Car Sedan - Alternative Natural Gas,0,1,1,OTHER_PLAT_LAND_CIV_CAR_SEDAN
OTHER_PLAT_LAND_CIV_CAR_SEDAN_ANTIQUE,1,1,0,81,4,0,0,Car Sedan - Antique,0,1,1,OTHER_PLAT_LAND_CIV_CAR_SEDAN
OTHER_PLAT_LAND_CIV_CAR_SEDAN_CITY_CAR,1,1,0,81,5,0,0,Car Sedan - City Car,0,1,1,OTHER_PLAT_LAND_CIV_CAR_SEDAN
OTHER_PLAT_LAND_CIV_CAR_SEDAN_CLASSIC,1,1,0,81,6,0,0,Car Sedan - Classic,0,1,1,OTHER_PLAT_LAND_CIV_CAR_SEDAN
OTHER_PLAT_LAND_CIV_CAR_SEDAN_COMPACT,1,1,0,81,7,0,0,Car Sedan - Compact,0,1,1,OTHER_PLAT_LAND_CIV_CAR_SEDAN
OTHER_PLAT_LAND_CIV_CAR_SEDAN_COMPACT_LUX,1,1,0,81,8,0,0,Car Sedan - Compact Luxury,0,1,1,OTHER_PLAT_LAND_CIV_CAR_SEDAN
OTHER_PLAT_LAND_CIV_CAR_SEDAN_FULL_SIZE,1,1,0,81,9,0,0,Car Sedan - Full-Size,0,1,1,OTHER_PLAT_LAND_CIV_CAR_SEDAN
