name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
US_RAD_LAND_VTR,7,1,225,1,0,0,0,Voice Transmission/Reception ,0,0,0,0
US_RAD_LAND_VTR_DAFIF_DERIVED_TRAFFIC_CTRL_VOICE_RADIO,7,1,225,1,0,3,0,Typical DAFIF Derived Traffic Control Voice Radio,0,0,0,US_RAD_LAND_VTR
US_RAD_LAND_VTR_JETDS,7,1,225,1,1,0,0,JETDS Non-Specific Series,0,0,0,US_RAD_LAND_VTR
US_RAD_LAND_VTR_JETDS_SINCGARS,7,1,225,1,1,1,0,SINGCARS,0,1,1,US_RAD_LAND_VTR
US_RAD_LAND_DLTR,7,1,225,2,0,0,0,Data Link Transmission/Reception,0,0,0,0
US_RAD_LAND_DLTR_JETDS,7,1,225,2,1,0,0,JETDS Non-Specific Series,0,0,0,US_RAD_LAND_DLTR
US_RAD_LAND_DLTR_JETDS_EPLRS,7,1,225,2,1,1,0,Enhanced Position Location Reporting System (EPLRS),0,1,1,US_RAD_LAND_DLTR
US_RAD_LAND_DLTR_JETDS_SRW,7,1,225,2,1,2,0,Soldier Radio Waveform (SRW),0,1,1,US_RAD_LAND_DLTR
US_RAD_LAND_DLTR_JETDS_WNW,7,1,225,2,1,3,0,Wideband Networking Waveform (WNW),0,1,1,US_RAD_LAND_DLTR
US_RAD_LAND_VDLTR,7,1,225,3,0,0,0,Voice and Data Link Transmission/Reception,0,0,0,0
US_RAD_LAND_VDLTR_SATCOM_TACT_MANPACK,7,1,225,3,0,1,0,SATCOM Tactical Manpack,0,1,1,US_RAD_LAND_VDLTR
US_RAD_LAND_ILSGT,7,1,225,4,0,0,0,Instrumented Landing System (ILS) Glideslope ,0,0,0,0
US_RAD_LAND_ILSGT_DAFIF_DERIVED_ILS_GLIDESLOPE_TRANS,7,1,225,4,0,3,0,Typical DAFIF Derived ILS Glideslope Transmitter,0,0,0,US_RAD_LAND_ILSGT
US_RAD_LAND_ILSLT,7,1,225,5,0,0,0,Instrumented Landing System (ILS) Localizer Transmitter ,0,0,0,0
US_RAD_LAND_ILSLT_LOCALIZER_TRANS_TYPICAL_DAFIF_DERIVED_ILS_LOCALIZER_TRANS,7,1,225,5,0,3,0,Typical DAFIF Derived ILS Localizer Transmitter,0,0,0,US_RAD_LAND_ILSLT
US_RAD_LAND_TACAN_T,7,1,225,10,0,0,0,Tactical Air Navigation (TACAN) Transmitter (Ground Fixed Equipment) ,0,0,0,0
US_RAD_LAND_TACAN_T_DAFIF_DERIVED_TACAN,7,1,225,10,0,3,0,Typical DAFIF Derived TACAN,0,0,0,US_RAD_LAND_TACAN_T
US_RAD_LAND_TACAN_TR,7,1,225,12,0,0,0,Tactical Air Navigation (TACAN) Transmitter/Receiver (Moving Platform Equipment) ,0,0,0,0
US_RAD_LAND_TACAN_TR_JETDS,7,1,225,12,1,0,0,JETDS Non-Specific Series,0,0,0,US_RAD_LAND_TACAN_TR
US_RAD_LAND_TACAN_TR_JETDS_AN_ARN_118,7,1,225,12,1,1,0,AN/ARN-118,0,0,0,US_RAD_LAND_TACAN_TR
US_RAD_LAND_TACAN_TR_JETDS_AN_ARN_139,7,1,225,12,1,2,0,AN/ARN-139,0,0,0,US_RAD_LAND_TACAN_TR
