name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
OTHER_SE_LAND_RFA,9,1,0,2,0,0,0,Countryless Land Sensor/Emitter RF Active,0,0,0,0
OTHER_SE_LAND_RFA_MULTI_FUNC,9,1,0,2,1,0,0,Countryless Land Sensor/Emitter RF Active Multi-function,0,0,0,OTHER_SE_LAND_RFA
OTHER_SE_LAND_RFA_MULTI_FUNC_FIXED,9,1,0,2,1,1,0,Countryless Land Sensor/Emitter RF Active Multi-function Fixed,0,0,0,OTHER_SE_LAND_RFA
OTHER_SE_LAND_RFA_MULTI_FUNC_MOBILE,9,1,0,2,1,2,0,Countryless Land Sensor/Emitter RF Active Multi-function Mobile,0,0,0,OTHER_SE_LAND_RFA
CH_SE_LAND_RFA,9,1,45,2,0,0,0,China Land Sensor/Emitter RF Active,0,0,0,0
CH_SE_LAND_RFA_MULTI_FUNC,9,1,45,2,1,0,0,China Land Sensor/Emitter RF Active Multi-function,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_MULTI_FUNC_FIXED,9,1,45,2,1,1,0,China Land Sensor/Emitter RF Active Multi-function Fixed,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_MULTI_FUNC_MOBILE,9,1,45,2,1,2,0,China Land Sensor/Emitter RF Active Multi-function Mobile,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR,9,1,45,2,2,0,0,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_CROSS_LEGS,9,1,45,2,2,1,0,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar Cross Legs,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_HN_503,9,1,45,2,2,2,0,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar HN-503,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_JY_8,9,1,45,2,2,3,0,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar JY-8,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_JY_8_JY_8A,9,1,45,2,2,3,1,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar JY-8 JY-8A,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_JY_9,9,1,45,2,2,4,0,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar JY-9,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_JY_14,9,1,45,2,2,5,0,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar JY-14,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_NANJING_B_C,9,1,45,2,2,6,0,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar Nanjing B/C,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_NANJING_B_C_NANJING_B,9,1,45,2,2,6,1,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar Nanjing B/C Nanjing B,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_NANJING_B_C_NANJING_C,9,1,45,2,2,6,2,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar Nanjing B/C Nanjing C,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_PIN_JIB,9,1,45,2,2,7,0,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar Pin Jib,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_EARLY_WARNING_SURV_RADAR_SLOT_REST,9,1,45,2,2,8,0,China Land Sensor/Emitter RF Active Early Warning / Surveillance Radar Slot Rest,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_FIRE_CTRL_RADAR,9,1,45,2,4,0,0,China Land Sensor/Emitter RF Active Fire Control Radar,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_FIRE_CTRL_RADAR_TEAM_WORK,9,1,45,2,4,1,0,China Land Sensor/Emitter RF Active Fire Control Radar Team Work,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_TARGET_ACQUISITION_RADAR,9,1,45,2,5,0,0,China Land Sensor/Emitter RF Active Target Acquisition Radar,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_TARGET_ACQUISITION_RADAR_RICE_PAD,9,1,45,2,5,1,0,China Land Sensor/Emitter RF Active Target Acquisition Radar Rice Pad,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_SURFACE_SEARCH_RADAR,9,1,45,2,18,0,0,China Land Sensor/Emitter RF Active Surface-Search Radar,0,0,0,CH_SE_LAND_RFA
CH_SE_LAND_RFA_SURFACE_SEARCH_RADAR_CROSS_SLOT,9,1,45,2,18,1,0,China Land Sensor/Emitter RF Active Surface-Search Radar Cross Slot,0,0,0,CH_SE_LAND_RFA
CZ_SE_LAND_RFP,9,1,56,3,0,0,0,Czechoslovakia Land Sensor/Emitter RF Passive (intercept and DF),0,0,0,0
CZ_SE_LAND_RFP_IDENTIFICATION_CLASSIFICATION_RADAR,9,1,56,3,16,0,0,Czechoslovakia Land Sensor/Emitter RF Passive (intercept and DF) Identification/Classification Radar,0,0,0,CZ_SE_LAND_RFP
CZ_SE_LAND_RFP_IDENTIFICATION_CLASSIFICATION_RADAR_RAMONA_SOFT_BALL,9,1,56,3,16,1,0,Czechoslovakia Land Sensor/Emitter RF Passive (intercept and DF) Identification/Classification Radar Ramona (Soft Ball),0,0,0,CZ_SE_LAND_RFP
