name,kind,dom,ctry,cat,scat,spec,ext,desc,deleted,new,SISO,alt
OTHER_SUPL,6,0,0,0,0,0,0,Supplies,0,0,0,0
OTHER_SUPL_FUELS,6,0,0,0,1,0,0,Supplies~ Fuels,0,0,0,0
OTHER_SUPL_FUELS_GASOLINE,6,0,0,0,1,1,0,Supplies~ Fuels~ Gasoline,0,0,0,OTHER_SUPL_FUELS
OTHER_SUPL_FUELS_DIESEL_FUEL,6,0,0,0,1,2,0,Supplies~ Fuels~ Diesel Fuel,0,0,0,OTHER_SUPL_FUELS
OTHER_SUPL_FUELS_JP4,6,0,0,0,1,3,0,Supplies~ Fuels~ JP4,0,0,0,OTHER_SUPL_FUELS
OTHER_SUPL_FUELS_FUEL_OIL,6,0,0,0,1,4,0,Supplies~ Fuels~ Fuel Oil,0,0,0,OTHER_SUPL_FUELS
OTHER_SUPL_FUELS_JP_8_FUEL,6,0,0,0,1,5,0,Supplies~ Fuels~ JP-8 Fuel,0,0,0,OTHER_SUPL_FUELS
OTHER_SUPL_FUELS_FOG_OIL,6,0,0,0,1,6,0,Supplies~ Fuels~ Fog oil,0,0,0,OTHER_SUPL_FUELS
OTHER_SUPL_FUELS_MULTI_SPECTRAL_FOG_OIL,6,0,0,0,1,7,0,Supplies~ Fuels~ Multi-Spectral Fog Oil,0,0,0,OTHER_SUPL_FUELS
OTHER_SUPL_OILS,6,0,0,0,2,0,0,Supplies~ Oils,0,0,0,0
OTHER_SUPL_LUBRICANTS,6,0,0,0,3,0,0,Supplies~ Lubricants,0,0,0,0
OTHER_SUPL_FOOD,6,0,0,0,4,0,0,Supplies~ Food,0,0,0,0
OTHER_SUPL_FOOD_WATER_DRINKING_STERILE_CLEAR_COLORLESS_BULK,6,0,0,0,4,1,0,Water Drinking Sterile Clear Colorless (bulk),0,0,0,OTHER_SUPL_FOOD
OTHER_SUPL_FOOD_WATER_DRINKING_DISTILLED_OR_SPARKLING,6,0,0,0,4,2,0,Water Drinking Distilled or Sparkling,0,0,0,OTHER_SUPL_FOOD
OTHER_SUPL_FOOD_MRE_INDIVIDUALS_MENUS_NO_1,6,0,0,0,4,3,0,MRE Individuals Menus NO.1,0,0,0,OTHER_SUPL_FOOD
OTHER_SUPL_FOOD_HUMANITARIAN_DAILY_RATION,6,0,0,0,4,4,0,Humanitarian Daily Ration,0,0,0,OTHER_SUPL_FOOD
OTHER_SUPL_FOOD_VEGETARIAN_MRE,6,0,0,0,4,5,0,Vegetarian MRE,0,0,0,OTHER_SUPL_FOOD
OTHER_SUPL_FOOD_BREAD_SHELF_STABLE_WHITE,6,0,0,0,4,6,0,Bread Shelf - Stable White,0,0,0,OTHER_SUPL_FOOD
OTHER_SUPL_FOOD_MEAL_COLD_WEATHER,6,0,0,0,4,7,0,Meal Cold Weather,0,0,0,OTHER_SUPL_FOOD
OTHER_SUPL_OFOOD_LONG_RANGE_PATROL_RATION,6,0,0,0,4,8,0,Long Range Patrol Ration,0,0,0,OTHER_SUPL_FOOD
OTHER_SUPL_SPARE_PARTS,6,0,0,0,5,0,0,Supplies~ Spare Parts,0,0,0,0
OTHER_SUPL_PERSONNEL,6,0,0,0,6,0,0,Supplies~ Personnel Other,0,0,0,0
OTHER_SUPL_PERSONNEL_DI,6,0,0,0,6,1,0,Dismounted Infantry,0,0,0,OTHER_SUPL_PERSONNEL
OTHER_SUPL_EQUIPMENT,6,0,0,0,7,0,0,Supplies~ Equipment,0,0,0,0
OTHER_SUPL_EQUIP_MINE_PLOW,6,0,0,0,7,1,0,Mine Plow,0,0,0,OTHER_SUPL_EQUIPMENT
OTHER_SUPL_EQUIP_MINE_ROLLERS,6,0,0,0,7,2,0,Mine Rollers,0,0,0,OTHER_SUPL_EQUIPMENT
OTHER_SUPL_EQUIP_TIP,6,0,0,0,7,3,0,Thermal Identification Panel (TIP),0,1,1,OTHER_SUPL_EQUIPMENT
OTHER_SUPL_EQUIP_TIP_ORANGE,6,0,0,0,7,3,1,TIP~ Orange,0,1,1,OTHER_SUPL_EQUIP_TIP
OTHER_SUPL_EQUIP_TIP_OD,6,0,0,0,7,3,2,TIP~ Olive Drab (OD),0,1,1,OTHER_SUPL_EQUIP_TIP
OTHER_SUPL_EQUIP_TIP_TAN,6,0,0,0,7,3,3,TIP~ Tan,0,1,1,OTHER_SUPL_EQUIP_TIP
OTHER_SUPL_EQUIP_TIP_ORANGE_TAN,6,0,0,0,7,3,4,TIP~ Orange/Tan,0,1,1,OTHER_SUPL_EQUIP_TIP
OTHER_SUPL_EQUIP_TIP_PERSONAL,6,0,0,0,7,4,0,TIP~ Personal,0,1,1,OTHER_SUPL_EQUIPMENT
OTHER_SUPL_EQUIP_TIP_PERSONAL_ORANGE,6,0,0,0,7,4,1,TIP~ Personal Orange,0,1,1,OTHER_SUPL_EQUIP_TIP_PERSONAL
OTHER_SUPL_EQUIP_TIP_PERSONAL_OD,6,0,0,0,7,4,2,TIP~ Personal Olive Drab (OD),0,1,1,OTHER_SUPL_EQUIP_TIP_PERSONAL
OTHER_SUPL_EQUIP_TIP_PERSONAL_TAN,6,0,0,0,7,4,3,TIP~ Personal Tan,0,1,1,OTHER_SUPL_EQUIP_TIP_PERSONAL
OTHER_SUPL_EQUIP_TIP_PERSONAL_ORANGE_TAN,6,0,0,0,7,4,4,TIP~ Personal Orange/Tan,0,1,1,OTHER_SUPL_EQUIP_TIP_PERSONAL
OTHER_SUPL_EQUIP_CIP,6,0,0,0,7,5,0,Combat Identification Panel (CIP),0,1,1,OTHER_SUPL_EQUIPMENT
